,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,76.32,45.0,1.41,5954718.0,CA,-101.865,54.7682,6.0,1685408410.0
1,Severo-Kuril'sk,45.99,82.0,12.73,2121385.0,RU,156.125,50.6789,16.0,1685408412.0
2,Codrington,60.3,81.0,12.59,2171099.0,AU,141.9667,-38.2667,100.0,1685408416.0
3,Bredasdorp,57.38,96.0,5.53,1015776.0,ZA,20.0403,-34.5322,82.0,1685408418.0
4,Kindersley,80.62,19.0,6.91,5992154.0,CA,-109.1682,51.4668,20.0,1685408422.0
5,Kavieng,83.95,75.0,9.75,2094342.0,PG,150.7967,-2.5744,100.0,1685408426.0
6,Brae,48.72,92.0,11.54,2654970.0,GB,-1.353,60.3964,0.0,1685408428.0
7,Hithadhoo,83.5,70.0,7.52,1282256.0,MV,73.0833,-0.6,66.0,1685408432.0
8,Ponta Delgada,63.32,82.0,3.44,3372783.0,PT,-25.6667,37.7333,20.0,1685408434.0
9,Kaitangata,60.67,50.0,5.53,2208248.0,NZ,169.8464,-46.2817,100.0,1685408438.0
10,Neiafu,83.08,83.0,11.5,4032420.0,TO,-173.9833,-18.65,40.0,1685408440.0
11,Busselton,68.22,77.0,18.88,2075265.0,AU,115.3333,-33.65,100.0,1685408442.0
12,Kudahuvadhoo,83.64,74.0,13.06,1337607.0,MV,72.8944,2.6708,38.0,1685408444.0
13,Port Macquarie,67.89,48.0,1.63,2152659.0,AU,152.9167,-31.4333,0.0,1685408246.0
14,Jamestown,76.21,43.0,9.22,5122534.0,US,-79.2353,42.097,0.0,1685408448.0
15,Nantucket,52.12,84.0,16.82,4944903.0,US,-70.0995,41.2835,0.0,1685408451.0
16,São João da Barra,68.09,93.0,6.44,3448903.0,BR,-41.0511,-21.6403,100.0,1685408453.0
17,Castlebar,54.59,90.0,2.75,2965654.0,IE,-9.3,53.85,100.0,1685408455.0
18,Katobu,83.59,65.0,4.36,1640972.0,ID,122.5276,-4.9408,15.0,1685408457.0
19,Port Lincoln,64.24,73.0,13.24,2063036.0,AU,135.8667,-34.7333,54.0,1685408460.0
20,Padampur,77.61,61.0,5.59,1260938.0,IN,73.6167,29.6833,6.0,1685408462.0
21,Cayenne,77.04,100.0,0.0,3382160.0,GF,-52.3333,4.9333,75.0,1685408464.0
22,Norman Wells,64.44,48.0,16.11,6089245.0,CA,-126.8329,65.282,75.0,1685408467.0
23,Upernavik,26.26,68.0,4.03,3418910.0,GL,-56.1549,72.7868,100.0,1685408469.0
24,Ushuaia,47.86,71.0,6.91,3833367.0,AR,-68.3,-54.8,0.0,1685408472.0
25,Tasiilaq,33.96,96.0,6.91,3424607.0,GL,-37.6368,65.6145,43.0,1685408474.0
26,Thunder Bay,60.71,51.0,6.91,6166142.0,CA,-89.3168,48.4001,75.0,1685408229.0
27,Provideniya,37.51,60.0,20.13,4031574.0,RU,-173.3,64.3833,75.0,1685408479.0
28,Cap Malheureux,71.47,76.0,1.99,934649.0,MU,57.6142,-19.9842,1.0,1685408481.0
29,West Wendover,76.21,23.0,6.91,5710035.0,US,-114.0733,40.7391,0.0,1685408483.0
30,Tautira,80.6,77.0,10.25,4033557.0,PF,-149.15,-17.7333,20.0,1685408481.0
31,Avarua,73.45,78.0,8.05,4035715.0,CK,-159.775,-21.2078,75.0,1685408349.0
32,Punta Arenas,44.11,87.0,5.5,3874787.0,CL,-70.9167,-53.15,100.0,1685408234.0
33,Ozernovskiy,45.32,86.0,11.25,2122293.0,RU,156.5167,51.5,84.0,1685408492.0
34,Aksu,64.96,22.0,3.29,1529660.0,CN,80.2644,41.1231,0.0,1685408426.0
35,Arrondissement d'Ajaccio,55.38,82.0,8.05,3038333.0,FR,8.9167,42.0,0.0,1685408332.0
36,Cabedelo,75.87,84.0,10.07,3404558.0,BR,-34.8339,-6.9811,50.0,1685408499.0
