,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,64.38,89.0,3.91,5954718.0,CA,-101.865,54.7682,100.0,1685772003.0
1,Severo-Kuril'sk,39.27,97.0,23.47,2121385.0,RU,156.125,50.6789,100.0,1685772005.0
2,Codrington,57.72,85.0,11.21,2171099.0,AU,141.9667,-38.2667,100.0,1685772008.0
3,Bredasdorp,59.31,69.0,28.45,1015776.0,ZA,20.0403,-34.5322,71.0,1685772010.0
4,Kindersley,55.42,82.0,3.44,5992154.0,CA,-109.1682,51.4668,75.0,1685772013.0
5,Kavieng,77.77,91.0,10.74,2094342.0,PG,150.7967,-2.5744,100.0,1685772015.0
6,Brae,49.93,92.0,3.4,2654970.0,GB,-1.353,60.3964,100.0,1685772017.0
7,Hithadhoo,81.64,71.0,2.35,1282256.0,MV,73.0833,-0.6,74.0,1685772019.0
8,Ponta Delgada,65.12,88.0,10.36,3372783.0,PT,-25.6667,37.7333,75.0,1685772012.0
9,Kaitangata,46.22,77.0,3.83,2208248.0,NZ,169.8464,-46.2817,79.0,1685772023.0
10,Neiafu,75.88,78.0,2.3,4032420.0,TO,-173.9833,-18.65,75.0,1685772025.0
11,Busselton,58.8,61.0,8.46,2075265.0,AU,115.3333,-33.65,4.0,1685772028.0
12,Kudahuvadhoo,83.05,75.0,17.49,1337607.0,MV,72.8944,2.6708,100.0,1685772030.0
13,Port Macquarie,68.9,56.0,4.38,2152659.0,AU,152.9167,-31.4333,62.0,1685772032.0
14,Jamestown,71.22,64.0,5.75,5122534.0,US,-79.2353,42.097,40.0,1685772003.0
15,Nantucket,58.21,98.0,13.8,4944903.0,US,-70.0995,41.2835,100.0,1685771914.0
16,São João da Barra,61.57,95.0,3.78,3448903.0,BR,-41.0511,-21.6403,0.0,1685772039.0
17,Castlebar,54.37,94.0,2.51,2965654.0,IE,-9.3,53.85,38.0,1685772041.0
18,Katobu,83.53,79.0,3.24,1640972.0,ID,122.5276,-4.9408,71.0,1685772043.0
19,Port Lincoln,72.28,28.0,7.07,2063036.0,AU,135.8667,-34.7333,52.0,1685772045.0
20,Padampur,90.7,29.0,5.44,1260938.0,IN,73.6167,29.6833,0.0,1685772047.0
21,Cayenne,73.44,100.0,3.44,3382160.0,GF,-52.3333,4.9333,100.0,1685772050.0
22,Norman Wells,62.64,34.0,4.61,6089245.0,CA,-126.8329,65.282,75.0,1685772052.0
23,Upernavik,26.98,88.0,9.73,3418910.0,GL,-56.1549,72.7868,100.0,1685771993.0
24,Ushuaia,42.46,65.0,5.75,3833367.0,AR,-68.3,-54.8,20.0,1685772056.0
25,Tasiilaq,33.96,95.0,6.71,3424607.0,GL,-37.6368,65.6145,97.0,1685772058.0
26,Thunder Bay,57.11,82.0,4.61,6166142.0,CA,-89.3168,48.4001,40.0,1685772003.0
27,Provideniya,36.21,78.0,7.11,4031574.0,RU,-173.3,64.3833,85.0,1685772062.0
28,Cap Malheureux,78.48,63.0,8.01,934649.0,MU,57.6142,-19.9842,0.0,1685772064.0
29,West Wendover,61.81,55.0,14.97,5710035.0,US,-114.0733,40.7391,75.0,1685772003.0
30,Tautira,77.04,69.0,6.62,4033557.0,PF,-149.15,-17.7333,5.0,1685772069.0
31,Avarua,69.85,94.0,3.44,4035715.0,CK,-159.775,-21.2078,100.0,1685772071.0
32,Punta Arenas,33.91,80.0,9.22,3874787.0,CL,-70.9167,-53.15,0.0,1685771804.0
33,Ozernovskiy,43.75,83.0,8.23,2122293.0,RU,156.5167,51.5,100.0,1685772075.0
34,Aksu,76.78,24.0,7.83,1529660.0,CN,80.2644,41.1231,100.0,1685772026.0
35,Arrondissement d'Ajaccio,58.98,77.0,5.75,3038333.0,FR,8.9167,42.0,0.0,1685771922.0
36,Cabedelo,74.07,79.0,10.49,3404558.0,BR,-34.8339,-6.9811,32.0,1685772081.0
37,Dikson,31.64,99.0,5.46,1507390.0,RU,80.5464,73.5069,100.0,1685772083.0
38,Hobart,52.25,59.0,10.36,2163355.0,AU,147.3294,-42.8794,20.0,1685771824.0
39,Vestmannaeyjar,48.09,91.0,6.85,3412093.0,IS,-20.2734,63.4427,75.0,1685772088.0
40,Alofi,71.49,94.0,6.91,4036284.0,NU,-169.9187,-19.0595,74.0,1685772090.0
41,Carnarvon,72.14,30.0,11.27,2074865.0,AU,113.6333,-24.8667,0.0,1685772092.0
42,Saint-Philippe,78.39,58.0,12.53,935215.0,RE,55.7679,-21.3585,28.0,1685772094.0
43,Cabra,61.34,69.0,1.05,2520645.0,ES,-4.4421,37.4725,59.0,1685772096.0
44,Feldbach,58.71,88.0,3.67,2779685.0,AT,15.8883,46.9531,65.0,1685772098.0
45,Tual,81.39,81.0,20.02,1623197.0,ID,132.75,-5.6667,53.0,1685772100.0
46,Longyearbyen,33.64,64.0,4.61,2729907.0,SJ,15.6401,78.2186,0.0,1685772085.0
47,Dukat,60.08,44.0,4.12,2125906.0,RU,155.55,62.55,85.0,1685772105.0
48,Jalu,75.97,47.0,11.36,86049.0,LY,21.5482,29.0331,24.0,1685772107.0
49,Vaini,71.76,73.0,4.61,4032243.0,TO,-175.2,-21.2,75.0,1685772109.0
50,Albany,64.17,77.0,2.68,5106841.0,US,-73.9662,42.6001,92.0,1685771913.0
51,Karaton,87.21,62.0,2.08,1630058.0,ID,106.1045,-6.3424,75.0,1685772113.0
52,Saldanha,55.45,80.0,21.21,3361934.0,ZA,17.9442,-33.0117,80.0,1685772115.0
53,Castro,47.28,91.0,4.38,3466704.0,BR,-50.0119,-24.7911,0.0,1685772117.0
54,Inhambane,73.38,83.0,0.0,1045114.0,MZ,35.3833,-23.865,20.0,1685772119.0
55,Mataura,45.01,86.0,4.05,6201424.0,NZ,168.8643,-46.1927,98.0,1685772122.0
56,Puerto Ayora,77.56,94.0,4.0,3652764.0,EC,-90.3518,-0.7393,40.0,1685772124.0
57,Arraial do Cabo,70.38,75.0,2.08,3471451.0,BR,-42.0278,-22.9661,11.0,1685772126.0
58,Obihiro,60.21,93.0,7.16,2128815.0,JP,143.2044,42.9172,94.0,1685772128.0
59,Penzance,52.48,84.0,12.59,2640377.0,GB,-5.5371,50.1186,14.0,1685772130.0
60,Butaritari,84.16,76.0,14.29,2110227.0,KI,172.7902,3.0707,78.0,1685772132.0
61,Rikitea,74.84,76.0,8.34,4030556.0,PF,-134.9692,-23.1203,90.0,1685772134.0
62,Namatanai,82.04,77.0,5.39,2090021.0,PG,152.4333,-3.6667,68.0,1685772137.0
63,Isangel,82.51,65.0,5.75,2136825.0,VU,169.2667,-19.55,75.0,1685772139.0
64,Saint George,69.64,41.0,5.75,5546220.0,US,-113.5841,37.1041,0.0,1685772141.0
65,Kruisfontein,57.88,41.0,10.16,986717.0,ZA,24.7314,-34.0033,99.0,1685772143.0
66,Mwinilunga,61.54,47.0,4.41,902620.0,ZM,24.4293,-11.7358,76.0,1685772145.0
67,Port Alfred,66.06,40.0,10.8,964432.0,ZA,26.891,-33.5906,98.0,1685772147.0
68,Marzuq,85.73,29.0,3.22,72181.0,YE,46.4667,14.4,61.0,1685772150.0
69,Puerto Escondido,83.43,79.0,7.67,3520994.0,MX,-97.0667,15.85,20.0,1685772152.0
70,Sivaki,66.78,44.0,11.59,2016477.0,RU,126.75,52.6333,86.0,1685772154.0
71,Yellowknife,52.32,43.0,6.91,6185377.0,CA,-114.3525,62.456,20.0,1685772071.0
72,Canchungo,73.74,76.0,4.09,2373951.0,GW,-16.0333,12.0672,67.0,1685772158.0
73,Östersund,41.45,42.0,12.66,2685750.0,SE,14.6357,63.1792,75.0,1685772056.0
74,Fort Nelson,53.94,51.0,4.61,5955902.0,CA,-122.7002,58.8053,100.0,1685772162.0
75,Castelo Branco,55.22,81.0,2.46,2269514.0,PT,-7.4909,39.8222,20.0,1685772164.0
76,Black River,76.48,91.0,2.42,3491355.0,JM,-77.8487,18.0264,97.0,1685772167.0
77,Atuona,79.88,79.0,7.34,4020109.0,PF,-139.0333,-9.8,4.0,1685772169.0
78,Birao,79.74,65.0,4.0,240210.0,CF,22.7882,10.2849,100.0,1685772171.0
79,Ekhabi,38.71,92.0,11.56,2122614.0,RU,142.9671,53.5102,100.0,1685772173.0
80,Barrow,30.22,86.0,5.75,5880054.0,US,-156.7887,71.2906,0.0,1685771890.0
81,Hilo,70.43,95.0,3.0,5855927.0,US,-155.09,19.7297,100.0,1685772008.0
82,Mehamn,46.35,61.0,12.66,778707.0,NO,27.8492,71.0357,100.0,1685772179.0
83,Shingū,78.37,44.0,3.85,1847947.0,JP,135.9833,33.7333,32.0,1685772182.0
84,George Town,89.55,70.0,8.05,1735106.0,MY,100.3354,5.4112,20.0,1685771989.0
85,Russell,66.07,94.0,0.0,4047434.0,US,-85.1999,32.3502,0.0,1685772186.0
86,Sidhi,104.45,13.0,7.34,1256369.0,IN,81.8833,24.4167,0.0,1685772188.0
87,Laramie,47.7,79.0,2.84,5830062.0,US,-105.5911,41.3114,95.0,1685772010.0
88,Bluff,49.62,77.0,15.12,2206939.0,NZ,168.3333,-46.6,100.0,1685772192.0
89,Bayir,66.72,84.0,4.76,304183.0,TR,28.2167,37.2687,99.0,1685772195.0
90,Vila Velha,64.35,94.0,2.3,3445026.0,BR,-40.2925,-20.3297,40.0,1685772058.0
91,Kapaa,72.84,85.0,11.5,5848280.0,US,-159.319,22.0752,40.0,1685772199.0
92,Margate,54.34,86.0,8.99,2643044.0,GB,1.3862,51.3813,29.0,1685772080.0
93,Kamaishi,68.68,58.0,15.21,2112444.0,JP,141.8833,39.2667,3.0,1685772203.0
94,Stăncuţa,68.13,65.0,18.05,666309.0,RO,27.8333,44.9,20.0,1685772205.0
95,Ankang,62.91,94.0,1.28,1789065.0,CN,109.0172,32.68,100.0,1685772207.0
96,Port Elizabeth,60.31,62.0,4.61,964420.0,ZA,25.5701,-33.918,0.0,1685772204.0
97,Morant Bay,80.22,85.0,3.24,3489440.0,JM,-76.4093,17.8815,94.0,1685772212.0
98,São Miguel,74.17,79.0,12.35,3388304.0,BR,-35.3667,-5.4667,7.0,1685772214.0
99,Guerrero Negro,59.56,83.0,17.83,4021858.0,MX,-114.0611,27.9769,9.0,1685772216.0
100,Husavik,48.65,80.0,1.39,2629833.0,IS,-17.3389,66.0449,56.0,1685772218.0
101,Ahipara,56.82,71.0,8.52,2194098.0,NZ,173.1667,-35.1667,24.0,1685772220.0
102,Saint Paul Harbor,47.71,81.0,13.8,5866583.0,US,-152.4072,57.79,75.0,1685772222.0
103,Mahébourg,79.09,69.0,12.66,934322.0,MU,57.7,-20.4081,75.0,1685772224.0
104,Mount Isa,85.77,25.0,5.75,2065594.0,AU,139.5,-20.7333,40.0,1685772042.0
105,Te Anau,44.42,94.0,5.41,2181625.0,NZ,167.7167,-45.4167,90.0,1685772228.0
106,Alenquer,75.34,87.0,2.24,3407980.0,BR,-54.7383,-1.9417,32.0,1685772231.0
107,São Miguel do Araguaia,72.95,58.0,4.18,3448455.0,BR,-50.1628,-13.275,35.0,1685772233.0
108,Kriel,47.8,41.0,5.44,987202.0,ZA,29.2253,-26.2739,58.0,1685772235.0
109,Marsh Harbour,78.75,78.0,7.87,3571913.0,BS,-77.0636,26.5412,34.0,1685772237.0
110,Souillac,79.18,69.0,12.66,933995.0,MU,57.5167,-20.5167,75.0,1685772068.0
111,Tigil',55.09,60.0,12.93,2120612.0,RU,158.6667,57.8,98.0,1685772241.0
112,Kaeo,56.79,80.0,5.17,2189343.0,NZ,173.7833,-35.1,3.0,1685772243.0
113,Cape Town,57.15,92.0,19.57,3369157.0,ZA,18.4232,-33.9258,75.0,1685771964.0
114,Cidreira,63.9,85.0,8.95,3466165.0,BR,-50.2056,-30.1811,0.0,1685772100.0
115,Khatanga,58.05,68.0,5.64,2022572.0,RU,102.5,71.9667,96.0,1685772250.0
116,Karlshamn,50.49,65.0,3.56,2701727.0,SE,14.8619,56.1706,15.0,1685772252.0
117,Pevek,31.24,81.0,9.71,2122090.0,RU,170.3133,69.7008,36.0,1685772254.0
118,Mar del Plata,56.44,87.0,9.22,3430863.0,AR,-57.5575,-38.0023,100.0,1685772030.0
