,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,59.05,75.0,9.64,5954718.0,CA,-101.865,54.7682,1.0,1685599202.0
1,Severo-Kuril'sk,38.64,94.0,7.47,2121385.0,RU,156.125,50.6789,99.0,1685599205.0
2,Codrington,55.47,54.0,5.75,2171099.0,AU,141.9667,-38.2667,79.0,1685599210.0
3,Bredasdorp,59.04,94.0,2.82,1015776.0,ZA,20.0403,-34.5322,100.0,1685599213.0
4,Kindersley,71.62,40.0,12.66,5992154.0,CA,-109.1682,51.4668,75.0,1685599215.0
5,Kavieng,82.36,80.0,13.2,2094342.0,PG,150.7967,-2.5744,100.0,1685599217.0
6,Brae,46.4,73.0,15.37,2654970.0,GB,-1.353,60.3964,40.0,1685599220.0
7,Hithadhoo,82.81,74.0,10.45,1282256.0,MV,73.0833,-0.6,98.0,1685599222.0
8,Ponta Delgada,61.52,88.0,2.3,3372783.0,PT,-25.6667,37.7333,40.0,1685599224.0
9,Kaitangata,57.92,66.0,4.29,2208248.0,NZ,169.8464,-46.2817,56.0,1685599226.0
10,Neiafu,79.48,78.0,4.61,4032420.0,TO,-173.9833,-18.65,75.0,1685599230.0
11,Busselton,62.67,58.0,16.69,2075265.0,AU,115.3333,-33.65,67.0,1685599232.0
12,Kudahuvadhoo,83.3,74.0,19.04,1337607.0,MV,72.8944,2.6708,95.0,1685599235.0
13,Port Macquarie,70.9,49.0,4.9,2152659.0,AU,152.9167,-31.4333,33.0,1685599238.0
14,Jamestown,65.14,75.0,5.75,5122534.0,US,-79.2353,42.097,0.0,1685599240.0
15,Nantucket,57.25,93.0,8.21,4944903.0,US,-70.0995,41.2835,0.0,1685599158.0
16,São João da Barra,66.51,97.0,3.51,3448903.0,BR,-41.0511,-21.6403,100.0,1685599244.0
17,Castlebar,55.54,82.0,3.47,2965654.0,IE,-9.3,53.85,25.0,1685599246.0
18,Katobu,83.98,70.0,5.84,1640972.0,ID,122.5276,-4.9408,100.0,1685599248.0
19,Port Lincoln,60.12,87.0,11.18,2063036.0,AU,135.8667,-34.7333,100.0,1685599250.0
20,Padampur,82.15,45.0,5.3,1260938.0,IN,73.6167,29.6833,17.0,1685599252.0
21,Cayenne,73.44,100.0,2.3,3382160.0,GF,-52.3333,4.9333,100.0,1685599255.0
22,Norman Wells,53.64,54.0,3.44,6089245.0,CA,-126.8329,65.282,75.0,1685599257.0
23,Upernavik,26.2,97.0,9.57,3418910.0,GL,-56.1549,72.7868,100.0,1685599259.0
24,Ushuaia,38.86,93.0,4.61,3833367.0,AR,-68.3,-54.8,0.0,1685599262.0
25,Tasiilaq,35.76,100.0,2.51,3424607.0,GL,-37.6368,65.6145,100.0,1685599264.0
26,Thunder Bay,55.31,82.0,2.3,6166142.0,CA,-89.3168,48.4001,75.0,1685599266.0
27,Provideniya,33.91,80.0,2.24,4031574.0,RU,-173.3,64.3833,100.0,1685599268.0
28,Cap Malheureux,79.47,61.0,5.01,934649.0,MU,57.6142,-19.9842,13.0,1685599270.0
29,West Wendover,65.41,37.0,21.85,5710035.0,US,-114.0733,40.7391,0.0,1685599272.0
30,Tautira,76.32,62.0,13.53,4033557.0,PF,-149.15,-17.7333,9.0,1685599275.0
31,Avarua,68.05,73.0,3.44,4035715.0,CK,-159.775,-21.2078,40.0,1685599277.0
32,Punta Arenas,39.31,81.0,9.22,3874787.0,CL,-70.9167,-53.15,75.0,1685599215.0
33,Ozernovskiy,38.28,96.0,4.18,2122293.0,RU,156.5167,51.5,97.0,1685599281.0
34,Aksu,83.05,12.0,11.54,1529660.0,CN,80.2644,41.1231,100.0,1685599283.0
35,Arrondissement d'Ajaccio,55.38,88.0,5.75,3038333.0,FR,8.9167,42.0,0.0,1685599286.0
36,Cabedelo,75.87,86.0,6.85,3404558.0,BR,-34.8339,-6.9811,63.0,1685599288.0
37,Dikson,32.5,99.0,6.85,1507390.0,RU,80.5464,73.5069,100.0,1685599290.0
38,Hobart,51.21,63.0,10.36,2163355.0,AU,147.3294,-42.8794,75.0,1685599219.0
39,Vestmannaeyjar,48.11,96.0,12.3,3412093.0,IS,-20.2734,63.4427,30.0,1685598995.0
40,Alofi,75.09,94.0,2.3,4036284.0,NU,-169.9187,-19.0595,62.0,1685599296.0
41,Carnarvon,72.68,52.0,14.16,2074865.0,AU,113.6333,-24.8667,6.0,1685599298.0
42,Saint-Philippe,78.39,75.0,9.22,935215.0,RE,55.7679,-21.3585,29.0,1685599300.0
43,Cabra,63.52,58.0,3.36,2520645.0,ES,-4.4421,37.4725,60.0,1685599302.0
44,Feldbach,62.71,75.0,1.45,2779685.0,AT,15.8883,46.9531,7.0,1685599305.0
45,Tual,80.82,82.0,16.4,1623197.0,ID,132.75,-5.6667,89.0,1685599307.0
