,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,75.04,57.0,11.5,5954718.0,CA,-101.865,54.7682,100.0,1685390403.0
1,Severo-Kuril'sk,41.77,95.0,14.09,2121385.0,RU,156.125,50.6789,99.0,1685390424.0
2,Codrington,58.41,88.0,11.34,2171099.0,AU,141.9667,-38.2667,100.0,1685390428.0
3,Bredasdorp,60.55,98.0,19.08,1015776.0,ZA,20.0403,-34.5322,100.0,1685390431.0
4,Kindersley,75.22,35.0,9.22,5992154.0,CA,-109.1682,51.4668,75.0,1685390437.0
5,Kavieng,83.34,74.0,8.61,2094342.0,PG,150.7967,-2.5744,95.0,1685390439.0
6,Brae,48.81,88.0,15.12,2654970.0,GB,-1.353,60.3964,100.0,1685390441.0
7,Hithadhoo,81.81,77.0,4.43,1282256.0,MV,73.0833,-0.6,94.0,1685390443.0
8,Ponta Delgada,66.92,68.0,9.22,3372783.0,PT,-25.6667,37.7333,20.0,1685390415.0
9,Kaitangata,44.58,98.0,2.37,2208248.0,NZ,169.8464,-46.2817,20.0,1685390448.0
10,Neiafu,79.48,89.0,8.05,4032420.0,TO,-173.9833,-18.65,20.0,1685390450.0
11,Busselton,68.86,77.0,17.65,2075265.0,AU,115.3333,-33.65,100.0,1685390452.0
12,Kudahuvadhoo,81.39,80.0,12.75,1337607.0,MV,72.8944,2.6708,27.0,1685390455.0
13,Port Macquarie,40.89,80.0,2.64,2152659.0,AU,152.9167,-31.4333,3.0,1685390457.0
14,Jamestown,81.86,26.0,11.5,5122534.0,US,-79.2353,42.097,0.0,1685390212.0
15,Nantucket,54.3,85.0,25.05,4944903.0,US,-70.0995,41.2835,0.0,1685390491.0
16,São João da Barra,73.49,76.0,13.4,3448903.0,BR,-41.0511,-21.6403,98.0,1685390493.0
17,Castlebar,60.58,86.0,5.59,2965654.0,IE,-9.3,53.85,87.0,1685390495.0
18,Katobu,74.1,88.0,4.45,1640972.0,ID,122.5276,-4.9408,3.0,1685390498.0
19,Port Lincoln,58.33,91.0,8.7,2063036.0,AU,135.8667,-34.7333,63.0,1685390500.0
20,Padampur,79.39,63.0,5.17,1260938.0,IN,73.6167,29.6833,92.0,1685390502.0
21,Cayenne,78.84,89.0,1.14,3382160.0,GF,-52.3333,4.9333,0.0,1685390409.0
22,Norman Wells,59.04,55.0,12.66,6089245.0,CA,-126.8329,65.282,100.0,1685390399.0
23,Upernavik,26.82,57.0,5.21,3418910.0,GL,-56.1549,72.7868,95.0,1685390509.0
24,Ushuaia,49.66,71.0,1.14,3833367.0,AR,-68.3,-54.8,20.0,1685390412.0
25,Tasiilaq,35.76,98.0,1.99,3424607.0,GL,-37.6368,65.6145,83.0,1685390513.0
26,Thunder Bay,75.11,33.0,12.66,6166142.0,CA,-89.3168,48.4001,40.0,1685390516.0
27,Provideniya,36.5,97.0,5.73,4031574.0,RU,-173.3,64.3833,90.0,1685390518.0
28,Cap Malheureux,72.46,78.0,1.01,934649.0,MU,57.6142,-19.9842,44.0,1685390521.0
29,West Wendover,70.81,40.0,6.91,5710035.0,US,-114.0733,40.7391,0.0,1685390523.0
30,Tautira,81.01,72.0,13.38,4033557.0,PF,-149.15,-17.7333,16.0,1685390477.0
31,Avarua,73.45,88.0,8.05,4035715.0,CK,-159.775,-21.2078,75.0,1685390527.0
32,Punta Arenas,51.53,71.0,13.8,3874787.0,CL,-70.9167,-53.15,75.0,1685390529.0
