,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,60.64,88.0,9.22,5954718.0,CA,-101.865,54.7682,100.0,1685718003.0
1,Severo-Kuril'sk,38.84,96.0,12.84,2121385.0,RU,156.125,50.6789,91.0,1685718006.0
2,Codrington,50.95,84.0,3.76,2171099.0,AU,141.9667,-38.2667,100.0,1685718009.0
3,Bredasdorp,63.41,77.0,3.58,1015776.0,ZA,20.0403,-34.5322,100.0,1685718012.0
4,Kindersley,53.62,87.0,11.5,5992154.0,CA,-109.1682,51.4668,100.0,1685718015.0
5,Kavieng,82.02,77.0,7.96,2094342.0,PG,150.7967,-2.5744,100.0,1685718019.0
6,Brae,48.78,65.0,8.72,2654970.0,GB,-1.353,60.3964,3.0,1685718027.0
7,Hithadhoo,82.29,77.0,9.01,1282256.0,MV,73.0833,-0.6,100.0,1685718032.0
8,Ponta Delgada,70.52,73.0,13.8,3372783.0,PT,-25.6667,37.7333,20.0,1685718036.0
9,Kaitangata,43.99,87.0,9.19,2208248.0,NZ,169.8464,-46.2817,100.0,1685718039.0
10,Neiafu,75.88,94.0,8.05,4032420.0,TO,-173.9833,-18.65,40.0,1685718041.0
11,Busselton,59.45,59.0,13.42,2075265.0,AU,115.3333,-33.65,13.0,1685718043.0
12,Kudahuvadhoo,82.98,74.0,21.7,1337607.0,MV,72.8944,2.6708,100.0,1685718045.0
13,Port Macquarie,52.9,99.0,1.97,2152659.0,AU,152.9167,-31.4333,57.0,1685718030.0
14,Jamestown,76.55,46.0,5.75,5122534.0,US,-79.2353,42.097,0.0,1685718049.0
15,Nantucket,62.73,91.0,5.75,4944903.0,US,-70.0995,41.2835,100.0,1685717763.0
16,São João da Barra,75.29,52.0,10.07,3448903.0,BR,-41.0511,-21.6403,34.0,1685718054.0
17,Castlebar,68.47,54.0,7.43,2965654.0,IE,-9.3,53.85,4.0,1685718056.0
18,Katobu,74.1,95.0,5.26,1640972.0,ID,122.5276,-4.9408,70.0,1685718058.0
19,Port Lincoln,59.97,45.0,7.99,2063036.0,AU,135.8667,-34.7333,91.0,1685718060.0
20,Padampur,87.93,36.0,5.79,1260938.0,IN,73.6167,29.6833,0.0,1685718062.0
21,Cayenne,87.84,66.0,3.44,3382160.0,GF,-52.3333,4.9333,75.0,1685718007.0
22,Norman Wells,51.84,66.0,8.05,6089245.0,CA,-126.8329,65.282,20.0,1685717788.0
