,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,75.04,60.0,10.36,5954718.0,CA,-101.865,54.7682,75.0,1685386802.0
1,Severo-Kuril'sk,41.49,96.0,16.28,2121385.0,RU,156.125,50.6789,100.0,1685386809.0
2,Codrington,58.66,87.0,11.7,2171099.0,AU,141.9667,-38.2667,100.0,1685386811.0
3,Bredasdorp,59.72,98.0,19.17,1015776.0,ZA,20.0403,-34.5322,100.0,1685386814.0
4,Kindersley,71.62,46.0,10.36,5992154.0,CA,-109.1682,51.4668,75.0,1685386704.0
5,Kavieng,83.23,75.0,9.82,2094342.0,PG,150.7967,-2.5744,100.0,1685386821.0
6,Brae,49.24,85.0,18.21,2654970.0,GB,-1.353,60.3964,100.0,1685386824.0
7,Hithadhoo,81.88,78.0,5.99,1282256.0,MV,73.0833,-0.6,88.0,1685386828.0
8,Ponta Delgada,66.92,72.0,10.36,3372783.0,PT,-25.6667,37.7333,20.0,1685386551.0
9,Kaitangata,44.65,97.0,3.36,2208248.0,NZ,169.8464,-46.2817,24.0,1685386832.0
10,Neiafu,79.48,83.0,4.61,4032420.0,TO,-173.9833,-18.65,40.0,1685386834.0
11,Busselton,68.76,76.0,17.72,2075265.0,AU,115.3333,-33.65,100.0,1685386837.0
12,Kudahuvadhoo,82.36,79.0,14.27,1337607.0,MV,72.8944,2.6708,22.0,1685386839.0
13,Port Macquarie,41.9,80.0,2.55,2152659.0,AU,152.9167,-31.4333,1.0,1685386841.0
14,Jamestown,81.88,26.0,11.5,5122534.0,US,-79.2353,42.097,0.0,1685386558.0
15,Nantucket,58.12,73.0,23.02,4944903.0,US,-70.0995,41.2835,20.0,1685386764.0
16,São João da Barra,75.29,71.0,10.47,3448903.0,BR,-41.0511,-21.6403,100.0,1685386847.0
17,Castlebar,63.59,71.0,5.28,2965654.0,IE,-9.3,53.85,78.0,1685386849.0
18,Katobu,73.33,89.0,4.12,1640972.0,ID,122.5276,-4.9408,0.0,1685386852.0
19,Port Lincoln,56.66,96.0,6.04,2063036.0,AU,135.8667,-34.7333,100.0,1685386854.0
20,Padampur,79.77,62.0,4.9,1260938.0,IN,73.6167,29.6833,93.0,1685386856.0
21,Cayenne,78.84,89.0,0.0,3382160.0,GF,-52.3333,4.9333,75.0,1685386779.0
22,Norman Wells,55.44,62.0,11.5,6089245.0,CA,-126.8329,65.282,100.0,1685386799.0
23,Upernavik,27.07,58.0,5.91,3418910.0,GL,-56.1549,72.7868,98.0,1685386863.0
