,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,64.24,82.0,6.91,5954718.0,CA,-101.865,54.7682,75.0,1685725202.0
1,Severo-Kuril'sk,38.98,95.0,13.65,2121385.0,RU,156.125,50.6789,89.0,1685725206.0
2,Codrington,50.41,94.0,1.97,2171099.0,AU,141.9667,-38.2667,100.0,1685725209.0
3,Bredasdorp,58.5,86.0,1.23,1015776.0,ZA,20.0403,-34.5322,63.0,1685725212.0
4,Kindersley,59.02,82.0,12.66,5992154.0,CA,-109.1682,51.4668,75.0,1685725214.0
5,Kavieng,81.28,78.0,7.9,2094342.0,PG,150.7967,-2.5744,100.0,1685725217.0
6,Brae,49.1,66.0,9.17,2654970.0,GB,-1.353,60.3964,3.0,1685725219.0
7,Hithadhoo,81.72,78.0,5.66,1282256.0,MV,73.0833,-0.6,100.0,1685725223.0
8,Ponta Delgada,68.72,73.0,14.97,3372783.0,PT,-25.6667,37.7333,20.0,1685725228.0
9,Kaitangata,42.17,91.0,7.4,2208248.0,NZ,169.8464,-46.2817,91.0,1685725231.0
10,Neiafu,75.88,88.0,2.3,4032420.0,TO,-173.9833,-18.65,75.0,1685725234.0
11,Busselton,59.43,58.0,10.16,2075265.0,AU,115.3333,-33.65,8.0,1685725237.0
12,Kudahuvadhoo,82.4,77.0,19.51,1337607.0,MV,72.8944,2.6708,100.0,1685725239.0
13,Port Macquarie,51.89,99.0,2.04,2152659.0,AU,152.9167,-31.4333,74.0,1685725241.0
14,Jamestown,83.84,30.0,5.75,5122534.0,US,-79.2353,42.097,20.0,1685725243.0
15,Nantucket,65.35,88.0,8.05,4944903.0,US,-70.0995,41.2835,100.0,1685725245.0
16,São João da Barra,77.09,61.0,14.79,3448903.0,BR,-41.0511,-21.6403,49.0,1685725022.0
17,Castlebar,66.58,64.0,8.86,2965654.0,IE,-9.3,53.85,11.0,1685725249.0
18,Katobu,73.89,95.0,4.7,1640972.0,ID,122.5276,-4.9408,59.0,1685725252.0
19,Port Lincoln,58.5,45.0,6.08,2063036.0,AU,135.8667,-34.7333,94.0,1685725254.0
