,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,55.94,76.0,9.69,5954718.0,CA,-101.865,54.7682,0.0,1685602802.0
1,Severo-Kuril'sk,38.05,97.0,6.46,2121385.0,RU,156.125,50.6789,100.0,1685602804.0
2,Codrington,53.98,56.0,5.12,2171099.0,AU,141.9667,-38.2667,78.0,1685602807.0
3,Bredasdorp,60.26,92.0,1.72,1015776.0,ZA,20.0403,-34.5322,100.0,1685602810.0
4,Kindersley,68.02,42.0,13.8,5992154.0,CA,-109.1682,51.4668,40.0,1685602812.0
5,Kavieng,82.51,79.0,13.47,2094342.0,PG,150.7967,-2.5744,100.0,1685602814.0
6,Brae,46.72,71.0,15.21,2654970.0,GB,-1.353,60.3964,45.0,1685602816.0
7,Hithadhoo,82.6,74.0,10.71,1282256.0,MV,73.0833,-0.6,100.0,1685602819.0
8,Ponta Delgada,61.52,82.0,5.75,3372783.0,PT,-25.6667,37.7333,20.0,1685602821.0
9,Kaitangata,58.93,55.0,4.88,2208248.0,NZ,169.8464,-46.2817,0.0,1685602823.0
10,Neiafu,75.88,88.0,0.0,4032420.0,TO,-173.9833,-18.65,75.0,1685602825.0
11,Busselton,62.28,63.0,18.72,2075265.0,AU,115.3333,-33.65,100.0,1685602828.0
12,Kudahuvadhoo,82.54,78.0,19.33,1337607.0,MV,72.8944,2.6708,96.0,1685602830.0
13,Port Macquarie,64.89,69.0,0.54,2152659.0,AU,152.9167,-31.4333,4.0,1685602833.0
14,Jamestown,59.72,87.0,3.44,5122534.0,US,-79.2353,42.097,0.0,1685602623.0
15,Nantucket,57.29,92.0,9.48,4944903.0,US,-70.0995,41.2835,0.0,1685602838.0
16,São João da Barra,66.29,97.0,4.43,3448903.0,BR,-41.0511,-21.6403,8.0,1685602840.0
17,Castlebar,56.34,73.0,4.21,2965654.0,IE,-9.3,53.85,5.0,1685602842.0
18,Katobu,84.65,68.0,6.22,1640972.0,ID,122.5276,-4.9408,100.0,1685602845.0
19,Port Lincoln,60.8,84.0,10.6,2063036.0,AU,135.8667,-34.7333,87.0,1685602847.0
20,Padampur,84.07,42.0,4.29,1260938.0,IN,73.6167,29.6833,0.0,1685602849.0
21,Cayenne,73.44,100.0,0.0,3382160.0,GF,-52.3333,4.9333,75.0,1685602851.0
22,Norman Wells,53.64,50.0,5.75,6089245.0,CA,-126.8329,65.282,75.0,1685602853.0
23,Upernavik,26.51,97.0,9.1,3418910.0,GL,-56.1549,72.7868,100.0,1685602855.0
24,Ushuaia,38.86,87.0,3.44,3833367.0,AR,-68.3,-54.8,0.0,1685602636.0
25,Tasiilaq,35.76,100.0,1.92,3424607.0,GL,-37.6368,65.6145,100.0,1685602860.0
26,Thunder Bay,57.11,77.0,6.91,6166142.0,CA,-89.3168,48.4001,100.0,1685602806.0
27,Provideniya,38.8,81.0,4.23,4031574.0,RU,-173.3,64.3833,100.0,1685602864.0
28,Cap Malheureux,80.47,59.0,4.0,934649.0,MU,57.6142,-19.9842,3.0,1685602866.0
29,West Wendover,65.41,37.0,26.46,5710035.0,US,-114.0733,40.7391,20.0,1685602868.0
30,Tautira,76.17,63.0,13.71,4033557.0,PF,-149.15,-17.7333,1.0,1685602870.0
31,Avarua,69.85,68.0,4.61,4035715.0,CK,-159.775,-21.2078,75.0,1685602873.0
32,Punta Arenas,39.31,81.0,10.36,3874787.0,CL,-70.9167,-53.15,75.0,1685602875.0
33,Ozernovskiy,38.07,96.0,4.61,2122293.0,RU,156.5167,51.5,100.0,1685602877.0
34,Aksu,83.62,12.0,8.57,1529660.0,CN,80.2644,41.1231,100.0,1685602879.0
35,Arrondissement d'Ajaccio,60.78,77.0,4.61,3038333.0,FR,8.9167,42.0,0.0,1685602881.0
36,Cabedelo,75.87,85.0,7.23,3404558.0,BR,-34.8339,-6.9811,93.0,1685602883.0
37,Dikson,32.04,99.0,6.13,1507390.0,RU,80.5464,73.5069,100.0,1685602886.0
38,Hobart,50.02,65.0,13.8,2163355.0,AU,147.3294,-42.8794,7.0,1685602810.0
39,Vestmannaeyjar,48.6,94.0,12.1,3412093.0,IS,-20.2734,63.4427,75.0,1685602890.0
40,Alofi,71.49,100.0,1.14,4036284.0,NU,-169.9187,-19.0595,100.0,1685602892.0
41,Carnarvon,72.39,53.0,14.41,2074865.0,AU,113.6333,-24.8667,0.0,1685602894.0
42,Saint-Philippe,78.39,75.0,9.57,935215.0,RE,55.7679,-21.3585,41.0,1685602896.0
43,Cabra,66.52,52.0,2.42,2520645.0,ES,-4.4421,37.4725,100.0,1685602898.0
44,Feldbach,69.87,64.0,0.43,2779685.0,AT,15.8883,46.9531,11.0,1685602900.0
45,Tual,80.71,82.0,17.58,1623197.0,ID,132.75,-5.6667,100.0,1685602903.0
46,Longyearbyen,33.64,64.0,10.36,2729907.0,SJ,15.6401,78.2186,0.0,1685602905.0
47,Dukat,61.29,37.0,11.86,2125906.0,RU,155.55,62.55,81.0,1685602907.0
48,Jalu,81.79,39.0,12.44,86049.0,LY,21.5482,29.0331,24.0,1685602909.0
49,Vaini,75.36,88.0,8.05,4032243.0,TO,-175.2,-21.2,75.0,1685602911.0
50,Albany,57.88,69.0,1.99,5106841.0,US,-73.9662,42.6001,0.0,1685602748.0
51,Karaton,84.02,68.0,3.85,1630058.0,ID,106.1045,-6.3424,100.0,1685602915.0
52,Saldanha,55.45,88.0,6.6,3361934.0,ZA,17.9442,-33.0117,100.0,1685602917.0
53,Castro,50.86,92.0,2.26,3466704.0,BR,-50.0119,-24.7911,0.0,1685602844.0
54,Inhambane,73.0,83.0,0.0,1045114.0,MZ,35.3833,-23.865,20.0,1685602922.0
55,Mataura,52.68,74.0,7.4,6201424.0,NZ,168.8643,-46.1927,5.0,1685602924.0
56,Puerto Ayora,77.56,91.0,5.99,3652764.0,EC,-90.3518,-0.7393,24.0,1685602926.0
57,Arraial do Cabo,69.75,87.0,13.62,3471451.0,BR,-42.0278,-22.9661,88.0,1685602904.0
58,Obihiro,76.41,52.0,9.55,2128815.0,JP,143.2044,42.9172,100.0,1685602930.0
59,Penzance,56.52,82.0,14.97,2640377.0,GB,-5.5371,50.1186,20.0,1685602932.0
60,Butaritari,84.13,74.0,7.54,2110227.0,KI,172.7902,3.0707,17.0,1685602934.0
61,Rikitea,77.36,85.0,29.55,4030556.0,PF,-134.9692,-23.1203,100.0,1685602876.0
62,Namatanai,81.25,82.0,10.83,2090021.0,PG,152.4333,-3.6667,100.0,1685602939.0
63,Isangel,82.51,69.0,5.75,2136825.0,VU,169.2667,-19.55,75.0,1685602941.0
64,Saint George,67.78,31.0,1.01,5546220.0,US,-113.5841,37.1041,0.0,1685602815.0
65,Kruisfontein,54.88,70.0,4.54,986717.0,ZA,24.7314,-34.0033,0.0,1685602945.0
66,Mwinilunga,71.65,40.0,6.17,902620.0,ZM,24.4293,-11.7358,5.0,1685602947.0
67,Port Alfred,58.17,83.0,3.0,964432.0,ZA,26.891,-33.5906,38.0,1685602949.0
