,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,67.84,88.0,2.3,5954718.0,CA,-101.865,54.7682,100.0,1685815202.0
1,Severo-Kuril'sk,39.52,94.0,37.6,2121385.0,RU,156.125,50.6789,100.0,1685815205.0
2,Codrington,50.04,93.0,10.11,2171099.0,AU,141.9667,-38.2667,73.0,1685815207.0
3,Bredasdorp,53.62,79.0,9.6,1015776.0,ZA,20.0403,-34.5322,56.0,1685815209.0
4,Kindersley,62.62,94.0,6.91,5992154.0,CA,-109.1682,51.4668,100.0,1685815211.0
5,Kavieng,82.17,73.0,4.54,2094342.0,PG,150.7967,-2.5744,100.0,1685815214.0
6,Brae,51.42,85.0,9.64,2654970.0,GB,-1.353,60.3964,55.0,1685815216.0
7,Hithadhoo,82.62,74.0,5.73,1282256.0,MV,73.0833,-0.6,100.0,1685815218.0
8,Ponta Delgada,68.72,83.0,5.75,3372783.0,PT,-25.6667,37.7333,20.0,1685815220.0
9,Kaitangata,40.71,84.0,4.23,2208248.0,NZ,169.8464,-46.2817,100.0,1685815222.0
10,Neiafu,74.08,78.0,0.0,4032420.0,TO,-173.9833,-18.65,75.0,1685815225.0
11,Busselton,62.65,64.0,18.61,2075265.0,AU,115.3333,-33.65,100.0,1685815228.0
12,Kudahuvadhoo,82.56,79.0,15.12,1337607.0,MV,72.8944,2.6708,100.0,1685815230.0
13,Port Macquarie,55.89,94.0,3.38,2152659.0,AU,152.9167,-31.4333,49.0,1685815233.0
14,Jamestown,78.42,57.0,14.97,5122534.0,US,-79.2353,42.097,0.0,1685815208.0
15,Nantucket,51.93,87.0,26.46,4944903.0,US,-70.0995,41.2835,100.0,1685814970.0
16,São João da Barra,80.69,48.0,10.11,3448903.0,BR,-41.0511,-21.6403,3.0,1685815239.0
17,Castlebar,67.24,67.0,5.88,2965654.0,IE,-9.3,53.85,30.0,1685815241.0
18,Katobu,74.79,97.0,4.5,1640972.0,ID,122.5276,-4.9408,95.0,1685815244.0
19,Port Lincoln,60.28,51.0,5.53,2063036.0,AU,135.8667,-34.7333,86.0,1685815246.0
20,Padampur,90.77,31.0,5.01,1260938.0,IN,73.6167,29.6833,17.0,1685815248.0
21,Cayenne,82.44,74.0,3.44,3382160.0,GF,-52.3333,4.9333,75.0,1685815204.0
22,Norman Wells,60.84,48.0,11.5,6089245.0,CA,-126.8329,65.282,20.0,1685815252.0
23,Upernavik,30.38,74.0,12.77,3418910.0,GL,-56.1549,72.7868,81.0,1685815049.0
24,Ushuaia,40.66,81.0,3.44,3833367.0,AR,-68.3,-54.8,0.0,1685815252.0
25,Tasiilaq,33.96,98.0,4.12,3424607.0,GL,-37.6368,65.6145,27.0,1685815259.0
26,Thunder Bay,76.91,57.0,9.22,6166142.0,CA,-89.3168,48.4001,40.0,1685815261.0
27,Provideniya,36.77,82.0,2.08,4031574.0,RU,-173.3,64.3833,64.0,1685815263.0
28,Cap Malheureux,74.46,68.0,1.01,934649.0,MU,57.6142,-19.9842,9.0,1685815265.0
29,West Wendover,67.21,32.0,9.22,5710035.0,US,-114.0733,40.7391,40.0,1685815267.0
30,Tautira,77.18,73.0,6.49,4033557.0,PF,-149.15,-17.7333,60.0,1685815269.0
31,Avarua,64.45,88.0,2.3,4035715.0,CK,-159.775,-21.2078,46.0,1685815272.0
32,Punta Arenas,41.11,87.0,12.66,3874787.0,CL,-70.9167,-53.15,75.0,1685815089.0
33,Ozernovskiy,41.41,86.0,20.58,2122293.0,RU,156.5167,51.5,100.0,1685815276.0
34,Aksu,72.18,30.0,9.46,1529660.0,CN,80.2644,41.1231,100.0,1685815225.0
35,Arrondissement d'Ajaccio,69.78,57.0,6.91,3038333.0,FR,8.9167,42.0,86.0,1685815280.0
36,Cabedelo,86.67,70.0,15.39,3404558.0,BR,-34.8339,-6.9811,7.0,1685815282.0
37,Dikson,30.61,95.0,5.32,1507390.0,RU,80.5464,73.5069,100.0,1685815285.0
38,Hobart,37.85,90.0,12.66,2163355.0,AU,147.3294,-42.8794,11.0,1685815025.0
39,Vestmannaeyjar,49.19,87.0,10.36,3412093.0,IS,-20.2734,63.4427,100.0,1685815289.0
40,Alofi,73.29,94.0,5.75,4036284.0,NU,-169.9187,-19.0595,100.0,1685815291.0
41,Carnarvon,63.16,43.0,11.61,2074865.0,AU,113.6333,-24.8667,0.0,1685815293.0
42,Saint-Philippe,71.19,78.0,15.41,935215.0,RE,55.7679,-21.3585,35.0,1685815295.0
43,Cabra,71.64,48.0,6.2,2520645.0,ES,-4.4421,37.4725,87.0,1685815298.0
44,Feldbach,66.09,76.0,3.87,2779685.0,AT,15.8883,46.9531,54.0,1685815300.0
45,Tual,81.14,81.0,16.49,1623197.0,ID,132.75,-5.6667,82.0,1685815302.0
46,Longyearbyen,35.44,69.0,3.44,2729907.0,SJ,15.6401,78.2186,0.0,1685815304.0
47,Dukat,49.84,69.0,0.94,2125906.0,RU,155.55,62.55,74.0,1685815306.0
48,Jalu,88.05,23.0,11.59,86049.0,LY,21.5482,29.0331,7.0,1685815308.0
49,Vaini,66.36,94.0,5.75,4032243.0,TO,-175.2,-21.2,20.0,1685815310.0
50,Albany,59.2,83.0,9.69,5106841.0,US,-73.9662,42.6001,100.0,1685815231.0
51,Karaton,75.52,93.0,1.03,1630058.0,ID,106.1045,-6.3424,77.0,1685815315.0
52,Saldanha,55.45,75.0,11.25,3361934.0,ZA,17.9442,-33.0117,62.0,1685815317.0
