,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,64.24,72.0,8.05,5954718.0,CA,-101.865,54.7682,0.0,1685548803.0
1,Severo-Kuril'sk,38.82,96.0,5.93,2121385.0,RU,156.125,50.6789,100.0,1685548806.0
2,Codrington,54.03,77.0,15.1,2171099.0,AU,141.9667,-38.2667,100.0,1685548808.0
3,Bredasdorp,59.4,92.0,7.31,1015776.0,ZA,20.0403,-34.5322,100.0,1685548813.0
4,Kindersley,71.62,40.0,5.75,5992154.0,CA,-109.1682,51.4668,20.0,1685548821.0
5,Kavieng,83.08,77.0,11.25,2094342.0,PG,150.7967,-2.5744,29.0,1685548829.0
6,Brae,48.92,85.0,11.68,2654970.0,GB,-1.353,60.3964,100.0,1685548835.0
7,Hithadhoo,83.17,77.0,11.77,1282256.0,MV,73.0833,-0.6,100.0,1685548838.0
8,Ponta Delgada,68.72,77.0,12.66,3372783.0,PT,-25.6667,37.7333,40.0,1685548840.0
9,Kaitangata,45.05,89.0,3.89,2208248.0,NZ,169.8464,-46.2817,91.0,1685548842.0
10,Neiafu,77.68,83.0,5.75,4032420.0,TO,-173.9833,-18.65,20.0,1685548844.0
11,Busselton,60.15,84.0,16.69,2075265.0,AU,115.3333,-33.65,64.0,1685548846.0
12,Kudahuvadhoo,82.94,77.0,16.69,1337607.0,MV,72.8944,2.6708,100.0,1685548849.0
13,Port Macquarie,48.88,69.0,2.82,2152659.0,AU,152.9167,-31.4333,54.0,1685548851.0
14,Jamestown,77.04,44.0,3.44,5122534.0,US,-79.2353,42.097,0.0,1685548621.0
15,Nantucket,60.46,79.0,9.22,4944903.0,US,-70.0995,41.2835,0.0,1685548593.0
16,São João da Barra,73.49,80.0,11.68,3448903.0,BR,-41.0511,-21.6403,100.0,1685548682.0
17,Castlebar,68.34,56.0,7.31,2965654.0,IE,-9.3,53.85,5.0,1685548859.0
18,Katobu,73.36,96.0,4.0,1640972.0,ID,122.5276,-4.9408,50.0,1685548861.0
19,Port Lincoln,59.43,93.0,7.11,2063036.0,AU,135.8667,-34.7333,1.0,1685548864.0
20,Padampur,80.85,58.0,14.03,1260938.0,IN,73.6167,29.6833,59.0,1685548867.0
21,Cayenne,87.84,62.0,11.5,3382160.0,GF,-52.3333,4.9333,40.0,1685548804.0
22,Norman Wells,50.04,87.0,4.61,6089245.0,CA,-126.8329,65.282,100.0,1685548592.0
23,Upernavik,33.17,99.0,2.93,3418910.0,GL,-56.1549,72.7868,100.0,1685548873.0
24,Ushuaia,42.46,75.0,8.05,3833367.0,AR,-68.3,-54.8,20.0,1685548875.0
25,Tasiilaq,39.36,97.0,4.97,3424607.0,GL,-37.6368,65.6145,100.0,1685548877.0
26,Thunder Bay,60.71,72.0,6.91,6166142.0,CA,-89.3168,48.4001,75.0,1685548880.0
27,Provideniya,38.08,75.0,5.48,4031574.0,RU,-173.3,64.3833,83.0,1685548882.0
28,Cap Malheureux,72.46,71.0,1.01,934649.0,MU,57.6142,-19.9842,0.0,1685548884.0
29,West Wendover,65.41,37.0,4.61,5710035.0,US,-114.0733,40.7391,0.0,1685548806.0
30,Tautira,75.96,71.0,16.71,4033557.0,PF,-149.15,-17.7333,91.0,1685548888.0
31,Avarua,64.45,82.0,2.3,4035715.0,CK,-159.775,-21.2078,100.0,1685548890.0
32,Punta Arenas,42.53,75.0,6.91,3874787.0,CL,-70.9167,-53.15,0.0,1685548787.0
33,Ozernovskiy,39.54,95.0,5.14,2122293.0,RU,156.5167,51.5,100.0,1685548895.0
34,Aksu,76.33,18.0,1.41,1529660.0,CN,80.2644,41.1231,55.0,1685548897.0
35,Arrondissement d'Ajaccio,67.98,68.0,5.75,3038333.0,FR,8.9167,42.0,0.0,1685548899.0
36,Cabedelo,84.87,74.0,11.7,3404558.0,BR,-34.8339,-6.9811,26.0,1685548902.0
37,Dikson,30.15,98.0,6.17,1507390.0,RU,80.5464,73.5069,83.0,1685548905.0
38,Hobart,49.77,75.0,20.71,2163355.0,AU,147.3294,-42.8794,75.0,1685548803.0
39,Vestmannaeyjar,49.19,81.0,20.71,3412093.0,IS,-20.2734,63.4427,20.0,1685548909.0
40,Alofi,64.29,94.0,2.3,4036284.0,NU,-169.9187,-19.0595,97.0,1685548911.0
41,Carnarvon,70.38,80.0,11.54,2074865.0,AU,113.6333,-24.8667,1.0,1685548914.0
42,Saint-Philippe,72.99,80.0,9.57,935215.0,RE,55.7679,-21.3585,51.0,1685548916.0
43,Cabra,76.86,31.0,6.26,2520645.0,ES,-4.4421,37.4725,23.0,1685548918.0
44,Feldbach,73.4,49.0,3.15,2779685.0,AT,15.8883,46.9531,69.0,1685548920.0
45,Tual,82.08,82.0,18.34,1623197.0,ID,132.75,-5.6667,78.0,1685548922.0
46,Longyearbyen,35.44,80.0,3.44,2729907.0,SJ,15.6401,78.2186,75.0,1685548926.0
47,Dukat,44.6,69.0,3.6,2125906.0,RU,155.55,62.55,100.0,1685548928.0
48,Jalu,100.96,11.0,13.06,86049.0,LY,21.5482,29.0331,23.0,1685548930.0
49,Vaini,75.36,88.0,4.61,4032243.0,TO,-175.2,-21.2,75.0,1685548932.0
50,Albany,76.8,43.0,1.01,5106841.0,US,-73.9662,42.6001,1.0,1685548801.0
51,Karaton,74.75,89.0,2.51,1630058.0,ID,106.1045,-6.3424,56.0,1685548937.0
52,Saldanha,60.85,90.0,2.17,3361934.0,ZA,17.9442,-33.0117,78.0,1685548939.0
53,Castro,61.2,82.0,4.65,3466704.0,BR,-50.0119,-24.7911,98.0,1685548876.0
54,Inhambane,77.0,73.0,9.22,1045114.0,MZ,35.3833,-23.865,20.0,1685548943.0
55,Mataura,44.28,92.0,4.52,6201424.0,NZ,168.8643,-46.1927,64.0,1685548945.0
56,Puerto Ayora,80.55,94.0,8.99,3652764.0,EC,-90.3518,-0.7393,78.0,1685548947.0
57,Arraial do Cabo,69.66,88.0,16.11,3471451.0,BR,-42.0278,-22.9661,75.0,1685548950.0
58,Obihiro,46.15,69.0,4.32,2128815.0,JP,143.2044,42.9172,2.0,1685548952.0
59,Penzance,60.44,72.0,11.5,2640377.0,GB,-5.5371,50.1186,20.0,1685548954.0
60,Butaritari,82.15,78.0,9.82,2110227.0,KI,172.7902,3.0707,96.0,1685548956.0
61,Rikitea,77.43,87.0,24.72,4030556.0,PF,-134.9692,-23.1203,100.0,1685548958.0
62,Namatanai,79.61,84.0,7.16,2090021.0,PG,152.4333,-3.6667,92.0,1685548961.0
63,Isangel,74.48,75.0,10.63,2136825.0,VU,169.2667,-19.55,88.0,1685548963.0
64,Saint George,71.67,22.0,3.44,5546220.0,US,-113.5841,37.1041,0.0,1685548888.0
65,Kruisfontein,56.88,90.0,5.08,986717.0,ZA,24.7314,-34.0033,85.0,1685548967.0
66,Mwinilunga,71.01,47.0,5.55,902620.0,ZM,24.4293,-11.7358,100.0,1685548969.0
67,Port Alfred,58.17,90.0,1.01,964432.0,ZA,26.891,-33.5906,97.0,1685548971.0
68,Marzuq,79.88,56.0,10.11,72181.0,YE,46.4667,14.4,30.0,1685548973.0
69,Puerto Escondido,87.64,63.0,7.65,3520994.0,MX,-97.0667,15.85,15.0,1685548975.0
70,Sivaki,47.03,75.0,4.72,2016477.0,RU,126.75,52.6333,75.0,1685548978.0
71,Yellowknife,57.72,58.0,9.22,6185377.0,CA,-114.3525,62.456,75.0,1685548887.0
72,Canchungo,87.93,57.0,11.61,2373951.0,GW,-16.0333,12.0672,100.0,1685548982.0
73,Östersund,45.05,39.0,19.57,2685750.0,SE,14.6357,63.1792,40.0,1685548985.0
74,Fort Nelson,54.95,44.0,5.01,5955902.0,CA,-122.7002,58.8053,40.0,1685548987.0
75,Castelo Branco,73.22,52.0,7.72,2269514.0,PT,-7.4909,39.8222,87.0,1685548989.0
76,Black River,84.92,71.0,15.46,3491355.0,JM,-77.8487,18.0264,100.0,1685548991.0
77,Atuona,80.46,77.0,13.27,4020109.0,PF,-139.0333,-9.8,6.0,1685548993.0
78,Birao,92.28,34.0,6.6,240210.0,CF,22.7882,10.2849,84.0,1685548995.0
79,Ekhabi,35.26,98.0,9.19,2122614.0,RU,142.9671,53.5102,100.0,1685548998.0
80,Barrow,30.22,93.0,9.22,5880054.0,US,-156.7887,71.2906,100.0,1685549000.0
81,Hilo,69.26,96.0,3.0,5855927.0,US,-155.09,19.7297,100.0,1685548845.0
82,Mehamn,40.95,93.0,12.66,778707.0,NO,27.8492,71.0357,75.0,1685549004.0
83,Shingū,58.86,97.0,3.09,1847947.0,JP,135.9833,33.7333,0.0,1685548808.0
84,George Town,89.33,68.0,4.61,1735106.0,MY,100.3354,5.4112,20.0,1685548975.0
85,Russell,74.7,78.0,6.91,4047434.0,US,-85.1999,32.3502,100.0,1685548762.0
86,Sidhi,94.48,20.0,11.12,1256369.0,IN,81.8833,24.4167,53.0,1685549012.0
87,Laramie,66.36,32.0,8.05,5830062.0,US,-105.5911,41.3114,0.0,1685549015.0
88,Bluff,51.76,84.0,15.08,2206939.0,NZ,168.3333,-46.6,75.0,1685549017.0
89,Bayir,72.12,67.0,3.4,304183.0,TR,28.2167,37.2687,78.0,1685549019.0
90,Vila Velha,74.95,84.0,3.44,3445026.0,BR,-40.2925,-20.3297,75.0,1685549021.0
91,Kapaa,71.4,84.0,11.5,5848280.0,US,-159.319,22.0752,100.0,1685549023.0
92,Margate,55.26,80.0,15.01,2643044.0,GB,1.3862,51.3813,3.0,1685548925.0
93,Kamaishi,53.78,82.0,6.73,2112444.0,JP,141.8833,39.2667,48.0,1685549027.0
94,Stăncuţa,74.34,46.0,7.47,666309.0,RO,27.8333,44.9,76.0,1685549030.0
95,Ankang,68.07,91.0,3.71,1789065.0,CN,109.0172,32.68,100.0,1685549032.0
96,Port Elizabeth,60.69,88.0,8.05,964420.0,ZA,25.5701,-33.918,0.0,1685548889.0
97,Morant Bay,83.82,81.0,11.07,3489440.0,JM,-76.4093,17.8815,100.0,1685549036.0
98,São Miguel,88.57,65.0,14.32,3388304.0,BR,-35.3667,-5.4667,28.0,1685549038.0
99,Guerrero Negro,61.75,66.0,18.19,4021858.0,MX,-114.0611,27.9769,96.0,1685549040.0
100,Husavik,52.63,59.0,4.81,2629833.0,IS,-17.3389,66.0449,7.0,1685549043.0
101,Ahipara,53.82,92.0,8.12,2194098.0,NZ,173.1667,-35.1667,51.0,1685549045.0
102,Saint Paul Harbor,42.31,87.0,4.61,5866583.0,US,-152.4072,57.79,100.0,1685549047.0
103,Mahébourg,73.69,73.0,5.75,934322.0,MU,57.7,-20.4081,20.0,1685549049.0
104,Mount Isa,42.57,70.0,0.0,2065594.0,AU,139.5,-20.7333,0.0,1685549051.0
105,Te Anau,52.57,93.0,6.33,2181625.0,NZ,167.7167,-45.4167,100.0,1685549054.0
106,Alenquer,88.25,56.0,7.23,3407980.0,BR,-54.7383,-1.9417,25.0,1685549056.0
107,São Miguel do Araguaia,92.14,36.0,4.03,3448455.0,BR,-50.1628,-13.275,49.0,1685549058.0
108,Kriel,58.8,83.0,7.0,987202.0,ZA,29.2253,-26.2739,30.0,1685549060.0
109,Marsh Harbour,78.35,80.0,10.16,3571913.0,BS,-77.0636,26.5412,100.0,1685549062.0
110,Souillac,73.78,73.0,5.75,933995.0,MU,57.5167,-20.5167,20.0,1685548882.0
111,Tigil',47.48,67.0,20.54,2120612.0,RU,158.6667,57.8,100.0,1685549067.0
112,Kaeo,53.78,91.0,4.76,2189343.0,NZ,173.7833,-35.1,30.0,1685549069.0
113,Cape Town,61.36,86.0,11.5,3369157.0,ZA,18.4232,-33.9258,75.0,1685548833.0
114,Cidreira,71.1,59.0,3.53,3466165.0,BR,-50.2056,-30.1811,0.0,1685549073.0
115,Khatanga,44.49,63.0,8.63,2022572.0,RU,102.5,71.9667,99.0,1685549075.0
116,Karlshamn,73.89,43.0,13.22,2701727.0,SE,14.8619,56.1706,9.0,1685549078.0
117,Pevek,22.77,92.0,5.37,2122090.0,RU,170.3133,69.7008,71.0,1685549080.0
118,Mar del Plata,59.95,77.0,12.66,3430863.0,AR,-57.5575,-38.0023,0.0,1685549082.0
119,Gobabis,65.34,15.0,10.78,3357247.0,NA,18.9667,-22.45,1.0,1685549084.0
120,Gaoyou,69.53,88.0,4.94,1810309.0,CN,119.4278,32.7858,85.0,1685549086.0
121,Bethel,71.67,39.0,5.75,5282297.0,US,-73.414,41.3712,0.0,1685549088.0
122,Santa Maria da Vitória,90.37,32.0,5.79,3450063.0,BR,-44.1886,-13.3947,3.0,1685549090.0
123,Banda Aceh,80.35,77.0,13.6,1215502.0,ID,95.3222,5.5577,98.0,1685549093.0
124,Georgiyevka,77.04,23.0,17.9,1524243.0,KZ,74.7114,43.0369,0.0,1685549096.0
125,Zonguldak,61.43,80.0,3.38,737021.0,TR,31.8333,41.25,99.0,1685549098.0
126,Booué,75.18,96.0,2.39,2401495.0,GA,11.9385,-0.0921,100.0,1685549100.0
