,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,63.55,92.0,10.13,5954718.0,CA,-101.865,54.7682,100.0,1685847602.0
1,Severo-Kuril'sk,39.36,97.0,11.3,2121385.0,RU,156.125,50.6789,100.0,1685847605.0
2,Codrington,64.11,62.0,9.82,2171099.0,AU,141.9667,-38.2667,29.0,1685847607.0
3,Bredasdorp,49.5,83.0,5.46,1015776.0,ZA,20.0403,-34.5322,57.0,1685847610.0
4,Kindersley,71.62,73.0,11.5,5992154.0,CA,-109.1682,51.4668,100.0,1685847612.0
5,Kavieng,82.36,76.0,4.83,2094342.0,PG,150.7967,-2.5744,62.0,1685847614.0
6,Brae,47.48,92.0,2.84,2654970.0,GB,-1.353,60.3964,9.0,1685847616.0
7,Hithadhoo,82.99,73.0,6.93,1282256.0,MV,73.0833,-0.6,100.0,1685847618.0
8,Ponta Delgada,65.12,82.0,3.44,3372783.0,PT,-25.6667,37.7333,20.0,1685847621.0
9,Kaitangata,44.51,89.0,6.2,2208248.0,NZ,169.8464,-46.2817,100.0,1685847623.0
10,Neiafu,81.28,65.0,9.22,4032420.0,TO,-173.9833,-18.65,40.0,1685847625.0
11,Busselton,65.01,68.0,30.82,2075265.0,AU,115.3333,-33.65,49.0,1685847628.0
12,Kudahuvadhoo,77.9,88.0,10.58,1337607.0,MV,72.8944,2.6708,100.0,1685847630.0
13,Port Macquarie,67.89,91.0,5.57,2152659.0,AU,152.9167,-31.4333,100.0,1685847632.0
14,Jamestown,58.42,51.0,12.66,5122534.0,US,-79.2353,42.097,0.0,1685847635.0
15,Nantucket,46.53,93.0,25.32,4944903.0,US,-70.0995,41.2835,100.0,1685847637.0
16,São João da Barra,61.66,91.0,2.1,3448903.0,BR,-41.0511,-21.6403,0.0,1685847639.0
17,Castlebar,55.58,94.0,3.0,2965654.0,IE,-9.3,53.85,0.0,1685847641.0
18,Katobu,81.28,83.0,4.07,1640972.0,ID,122.5276,-4.9408,62.0,1685847644.0
19,Port Lincoln,73.08,40.0,8.03,2063036.0,AU,135.8667,-34.7333,100.0,1685847646.0
20,Padampur,90.43,38.0,3.96,1260938.0,IN,73.6167,29.6833,62.0,1685847648.0
21,Cayenne,75.24,94.0,3.44,3382160.0,GF,-52.3333,4.9333,75.0,1685847529.0
22,Norman Wells,75.24,25.0,8.05,6089245.0,CA,-126.8329,65.282,100.0,1685847652.0
23,Upernavik,21.7,94.0,1.9,3418910.0,GL,-56.1549,72.7868,87.0,1685847654.0
24,Ushuaia,38.86,81.0,3.44,3833367.0,AR,-68.3,-54.8,75.0,1685847657.0
25,Tasiilaq,28.56,85.0,2.77,3424607.0,GL,-37.6368,65.6145,100.0,1685847659.0
26,Thunder Bay,66.11,63.0,5.75,6166142.0,CA,-89.3168,48.4001,20.0,1685847587.0
27,Provideniya,41.18,73.0,5.37,4031574.0,RU,-173.3,64.3833,97.0,1685847663.0
28,Cap Malheureux,75.47,66.0,1.01,934649.0,MU,57.6142,-19.9842,2.0,1685847665.0
29,West Wendover,70.81,28.0,5.75,5710035.0,US,-114.0733,40.7391,40.0,1685847547.0
30,Tautira,77.95,71.0,9.06,4033557.0,PF,-149.15,-17.7333,15.0,1685847670.0
31,Avarua,73.45,64.0,5.75,4035715.0,CK,-159.775,-21.2078,75.0,1685847672.0
32,Punta Arenas,37.51,87.0,10.36,3874787.0,CL,-70.9167,-53.15,75.0,1685847674.0
33,Ozernovskiy,41.27,94.0,9.08,2122293.0,RU,156.5167,51.5,100.0,1685847676.0
34,Aksu,77.36,24.0,14.47,1529660.0,CN,80.2644,41.1231,100.0,1685847679.0
35,Arrondissement d'Ajaccio,58.98,82.0,5.75,3038333.0,FR,8.9167,42.0,100.0,1685847681.0
36,Cabedelo,75.87,77.0,11.12,3404558.0,BR,-34.8339,-6.9811,59.0,1685847417.0
37,Dikson,31.62,90.0,4.68,1507390.0,RU,80.5464,73.5069,66.0,1685847685.0
38,Hobart,48.6,72.0,6.91,2163355.0,AU,147.3294,-42.8794,0.0,1685847425.0
39,Vestmannaeyjar,47.46,85.0,9.37,3412093.0,IS,-20.2734,63.4427,100.0,1685847689.0
40,Alofi,75.09,88.0,10.36,4036284.0,NU,-169.9187,-19.0595,97.0,1685847691.0
41,Carnarvon,67.06,34.0,2.84,2074865.0,AU,113.6333,-24.8667,0.0,1685847694.0
42,Saint-Philippe,67.59,76.0,11.72,935215.0,RE,55.7679,-21.3585,0.0,1685847696.0
43,Cabra,63.55,71.0,3.31,2520645.0,ES,-4.4421,37.4725,52.0,1685847698.0
44,Feldbach,56.17,95.0,1.03,2779685.0,AT,15.8883,46.9531,91.0,1685847700.0
45,Tual,81.28,79.0,17.87,1623197.0,ID,132.75,-5.6667,82.0,1685847702.0
46,Longyearbyen,35.44,75.0,4.61,2729907.0,SJ,15.6401,78.2186,0.0,1685847705.0
47,Dukat,53.38,66.0,0.92,2125906.0,RU,155.55,62.55,100.0,1685847707.0
48,Jalu,76.6,32.0,10.02,86049.0,LY,21.5482,29.0331,3.0,1685847709.0
49,Vaini,77.16,73.0,11.5,4032243.0,TO,-175.2,-21.2,40.0,1685847711.0
50,Albany,51.24,89.0,3.18,5106841.0,US,-73.9662,42.6001,16.0,1685847713.0
51,Karaton,87.12,62.0,1.83,1630058.0,ID,106.1045,-6.3424,29.0,1685847715.0
52,Saldanha,48.25,76.0,6.6,3361934.0,ZA,17.9442,-33.0117,59.0,1685847718.0
53,Castro,50.92,83.0,3.36,3466704.0,BR,-50.0119,-24.7911,0.0,1685847622.0
54,Inhambane,72.77,86.0,13.02,1045114.0,MZ,35.3833,-23.865,98.0,1685847722.0
55,Mataura,44.38,87.0,3.76,6201424.0,NZ,168.8643,-46.1927,100.0,1685847724.0
56,Puerto Ayora,78.55,94.0,5.99,3652764.0,EC,-90.3518,-0.7393,74.0,1685847726.0
57,Arraial do Cabo,70.18,77.0,13.0,3471451.0,BR,-42.0278,-22.9661,0.0,1685847729.0
58,Obihiro,54.81,76.0,2.53,2128815.0,JP,143.2044,42.9172,99.0,1685847641.0
59,Penzance,56.08,82.0,13.67,2640377.0,GB,-5.5371,50.1186,35.0,1685847733.0
