,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,69.64,83.0,2.3,5954718.0,CA,-101.865,54.7682,100.0,1685808002.0
1,Severo-Kuril'sk,40.06,93.0,33.69,2121385.0,RU,156.125,50.6789,100.0,1685808005.0
2,Codrington,50.04,93.0,9.1,2171099.0,AU,141.9667,-38.2667,46.0,1685808007.0
3,Bredasdorp,54.16,76.0,15.19,1015776.0,ZA,20.0403,-34.5322,19.0,1685808010.0
4,Kindersley,59.02,100.0,9.22,5992154.0,CA,-109.1682,51.4668,100.0,1685808013.0
5,Kavieng,81.27,77.0,9.84,2094342.0,PG,150.7967,-2.5744,100.0,1685808015.0
6,Brae,51.42,82.0,9.82,2654970.0,GB,-1.353,60.3964,50.0,1685808017.0
7,Hithadhoo,82.8,71.0,4.65,1282256.0,MV,73.0833,-0.6,100.0,1685808020.0
8,Ponta Delgada,68.72,83.0,6.91,3372783.0,PT,-25.6667,37.7333,20.0,1685808023.0
9,Kaitangata,41.97,83.0,3.69,2208248.0,NZ,169.8464,-46.2817,100.0,1685808026.0
10,Neiafu,74.08,78.0,2.3,4032420.0,TO,-173.9833,-18.65,75.0,1685808028.0
11,Busselton,62.29,62.0,17.13,2075265.0,AU,115.3333,-33.65,100.0,1685808030.0
12,Kudahuvadhoo,83.64,76.0,15.99,1337607.0,MV,72.8944,2.6708,100.0,1685808032.0
13,Port Macquarie,53.89,86.0,2.51,2152659.0,AU,152.9167,-31.4333,82.0,1685808034.0
14,Jamestown,76.37,64.0,10.36,5122534.0,US,-79.2353,42.097,0.0,1685807978.0
15,Nantucket,52.57,86.0,28.77,4944903.0,US,-70.0995,41.2835,100.0,1685807809.0
16,São João da Barra,78.89,44.0,4.5,3448903.0,BR,-41.0511,-21.6403,8.0,1685808041.0
17,Castlebar,70.0,64.0,7.99,2965654.0,IE,-9.3,53.85,50.0,1685808043.0
18,Katobu,75.15,96.0,5.3,1640972.0,ID,122.5276,-4.9408,94.0,1685808045.0
19,Port Lincoln,60.28,59.0,6.53,2063036.0,AU,135.8667,-34.7333,87.0,1685808047.0
20,Padampur,93.65,29.0,3.44,1260938.0,IN,73.6167,29.6833,0.0,1685808050.0
21,Cayenne,87.84,66.0,2.3,3382160.0,GF,-52.3333,4.9333,20.0,1685807909.0
