,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,54.27,98.0,5.59,5954718.0,CA,-101.865,54.7682,24.0,1685696402.0
1,Severo-Kuril'sk,40.33,97.0,7.54,2121385.0,RU,156.125,50.6789,100.0,1685696409.0
2,Codrington,53.01,75.0,4.47,2171099.0,AU,141.9667,-38.2667,100.0,1685696414.0
3,Bredasdorp,64.87,70.0,5.3,1015776.0,ZA,20.0403,-34.5322,100.0,1685696417.0
4,Kindersley,53.62,100.0,13.8,5992154.0,CA,-109.1682,51.4668,75.0,1685696420.0
5,Kavieng,83.16,74.0,9.64,2094342.0,PG,150.7967,-2.5744,100.0,1685696422.0
6,Brae,47.91,61.0,4.7,2654970.0,GB,-1.353,60.3964,36.0,1685696424.0
7,Hithadhoo,83.07,73.0,8.97,1282256.0,MV,73.0833,-0.6,100.0,1685696427.0
8,Ponta Delgada,66.92,82.0,8.05,3372783.0,PT,-25.6667,37.7333,20.0,1685696430.0
9,Kaitangata,46.92,74.0,9.84,2208248.0,NZ,169.8464,-46.2817,42.0,1685696433.0
10,Neiafu,77.92,80.0,12.62,4032420.0,TO,-173.9833,-18.65,97.0,1685696435.0
11,Busselton,62.38,61.0,13.35,2075265.0,AU,115.3333,-33.65,48.0,1685696438.0
12,Kudahuvadhoo,83.01,76.0,19.57,1337607.0,MV,72.8944,2.6708,100.0,1685696440.0
13,Port Macquarie,58.89,95.0,2.3,2152659.0,AU,152.9167,-31.4333,25.0,1685696443.0
14,Jamestown,56.01,91.0,0.0,5122534.0,US,-79.2353,42.097,0.0,1685696407.0
15,Nantucket,57.7,98.0,0.0,4944903.0,US,-70.0995,41.2835,100.0,1685696367.0
16,São João da Barra,63.52,92.0,3.89,3448903.0,BR,-41.0511,-21.6403,0.0,1685696449.0
17,Castlebar,58.66,63.0,4.09,2965654.0,IE,-9.3,53.85,23.0,1685696451.0
18,Katobu,81.36,75.0,6.87,1640972.0,ID,122.5276,-4.9408,34.0,1685696453.0
19,Port Lincoln,64.87,47.0,7.0,2063036.0,AU,135.8667,-34.7333,83.0,1685696456.0
20,Padampur,91.04,32.0,9.01,1260938.0,IN,73.6167,29.6833,1.0,1685696458.0
21,Cayenne,73.44,100.0,0.0,3382160.0,GF,-52.3333,4.9333,0.0,1685696405.0
22,Norman Wells,39.24,100.0,4.61,6089245.0,CA,-126.8329,65.282,20.0,1685696190.0
23,Upernavik,21.96,92.0,4.61,3418910.0,GL,-56.1549,72.7868,42.0,1685696464.0
24,Ushuaia,49.66,53.0,16.11,3833367.0,AR,-68.3,-54.8,40.0,1685696466.0
25,Tasiilaq,37.56,99.0,5.61,3424607.0,GL,-37.6368,65.6145,100.0,1685696468.0
26,Thunder Bay,53.51,94.0,2.3,6166142.0,CA,-89.3168,48.4001,40.0,1685696471.0
27,Provideniya,32.07,89.0,4.32,4031574.0,RU,-173.3,64.3833,80.0,1685696473.0
28,Cap Malheureux,79.47,56.0,10.0,934649.0,MU,57.6142,-19.9842,51.0,1685696475.0
29,West Wendover,58.21,72.0,4.61,5710035.0,US,-114.0733,40.7391,20.0,1685696478.0
30,Tautira,75.92,62.0,6.31,4033557.0,PF,-149.15,-17.7333,26.0,1685696480.0
31,Avarua,62.65,94.0,1.14,4035715.0,CK,-159.775,-21.2078,21.0,1685696482.0
32,Punta Arenas,44.71,81.0,13.8,3874787.0,CL,-70.9167,-53.15,100.0,1685696420.0
33,Ozernovskiy,40.62,89.0,5.68,2122293.0,RU,156.5167,51.5,100.0,1685696486.0
34,Aksu,80.71,18.0,4.7,1529660.0,CN,80.2644,41.1231,100.0,1685696488.0
35,Arrondissement d'Ajaccio,67.98,60.0,5.75,3038333.0,FR,8.9167,42.0,0.0,1685696277.0
36,Cabedelo,75.87,86.0,10.07,3404558.0,BR,-34.8339,-6.9811,32.0,1685696492.0
37,Dikson,33.44,99.0,11.41,1507390.0,RU,80.5464,73.5069,100.0,1685696495.0
38,Hobart,46.49,82.0,5.75,2163355.0,AU,147.3294,-42.8794,75.0,1685696225.0
39,Vestmannaeyjar,47.39,100.0,10.36,3412093.0,IS,-20.2734,63.4427,100.0,1685696499.0
40,Alofi,73.29,94.0,1.14,4036284.0,NU,-169.9187,-19.0595,24.0,1685696501.0
41,Carnarvon,69.33,46.0,17.92,2074865.0,AU,113.6333,-24.8667,0.0,1685696503.0
42,Saint-Philippe,78.39,73.0,12.73,935215.0,RE,55.7679,-21.3585,54.0,1685696505.0
43,Cabra,65.39,57.0,5.41,2520645.0,ES,-4.4421,37.4725,100.0,1685696508.0
44,Feldbach,79.12,51.0,1.03,2779685.0,AT,15.8883,46.9531,78.0,1685696510.0
45,Tual,81.72,81.0,18.68,1623197.0,ID,132.75,-5.6667,48.0,1685696512.0
46,Longyearbyen,33.64,51.0,5.75,2729907.0,SJ,15.6401,78.2186,0.0,1685696514.0
47,Dukat,57.4,42.0,9.95,2125906.0,RU,155.55,62.55,77.0,1685696516.0
48,Jalu,83.46,34.0,10.2,86049.0,LY,21.5482,29.0331,2.0,1685696518.0
49,Vaini,71.76,73.0,9.22,4032243.0,TO,-175.2,-21.2,75.0,1685696520.0
50,Albany,61.54,78.0,1.99,5106841.0,US,-73.9662,42.6001,0.0,1685696522.0
51,Karaton,86.02,64.0,2.44,1630058.0,ID,106.1045,-6.3424,86.0,1685696525.0
52,Saldanha,55.45,84.0,23.47,3361934.0,ZA,17.9442,-33.0117,100.0,1685696527.0
53,Castro,48.24,94.0,1.92,3466704.0,BR,-50.0119,-24.7911,0.0,1685696529.0
54,Inhambane,80.01,74.0,11.99,1045114.0,MZ,35.3833,-23.865,40.0,1685696424.0
55,Mataura,42.93,96.0,8.61,6201424.0,NZ,168.8643,-46.1927,99.0,1685696533.0
56,Puerto Ayora,73.54,98.0,5.26,3652764.0,EC,-90.3518,-0.7393,44.0,1685696535.0
57,Arraial do Cabo,71.42,78.0,8.95,3471451.0,BR,-42.0278,-22.9661,57.0,1685696538.0
58,Obihiro,63.81,94.0,6.22,2128815.0,JP,143.2044,42.9172,100.0,1685696454.0
59,Penzance,55.99,76.0,16.11,2640377.0,GB,-5.5371,50.1186,40.0,1685696542.0
60,Butaritari,84.09,76.0,12.97,2110227.0,KI,172.7902,3.0707,68.0,1685696544.0
61,Rikitea,76.37,80.0,15.01,4030556.0,PF,-134.9692,-23.1203,77.0,1685696547.0
62,Namatanai,80.29,78.0,3.69,2090021.0,PG,152.4333,-3.6667,91.0,1685696549.0
63,Isangel,75.49,84.0,16.91,2136825.0,VU,169.2667,-19.55,100.0,1685696551.0
64,Saint George,71.87,38.0,11.5,5546220.0,US,-113.5841,37.1041,75.0,1685696553.0
65,Kruisfontein,68.34,44.0,9.31,986717.0,ZA,24.7314,-34.0033,85.0,1685696555.0
66,Mwinilunga,80.06,22.0,7.54,902620.0,ZM,24.4293,-11.7358,0.0,1685696557.0
67,Port Alfred,72.18,57.0,4.0,964432.0,ZA,26.891,-33.5906,26.0,1685696559.0
68,Marzuq,90.45,27.0,5.28,72181.0,YE,46.4667,14.4,25.0,1685696562.0
69,Puerto Escondido,82.08,83.0,6.96,3520994.0,MX,-97.0667,15.85,2.0,1685696406.0
70,Sivaki,56.91,68.0,10.16,2016477.0,RU,126.75,52.6333,100.0,1685696566.0
71,Yellowknife,50.52,53.0,5.75,6185377.0,CA,-114.3525,62.456,20.0,1685696489.0
72,Canchungo,78.93,66.0,5.86,2373951.0,GW,-16.0333,12.0672,100.0,1685696570.0
73,Östersund,41.45,42.0,65.99,2685750.0,SE,14.6357,63.1792,75.0,1685696467.0
74,Fort Nelson,44.94,68.0,2.3,5955902.0,CA,-122.7002,58.8053,20.0,1685696558.0
