,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,66.04,77.0,6.91,5954718.0,CA,-101.865,54.7682,75.0,1685728802.0
1,Severo-Kuril'sk,39.11,94.0,9.22,2121385.0,RU,156.125,50.6789,100.0,1685728805.0
2,Codrington,50.72,95.0,2.77,2171099.0,AU,141.9667,-38.2667,100.0,1685728807.0
3,Bredasdorp,58.06,79.0,4.12,1015776.0,ZA,20.0403,-34.5322,54.0,1685728810.0
4,Kindersley,62.62,72.0,12.66,5992154.0,CA,-109.1682,51.4668,75.0,1685728812.0
5,Kavieng,82.29,75.0,6.67,2094342.0,PG,150.7967,-2.5744,100.0,1685728814.0
6,Brae,49.23,66.0,8.23,2654970.0,GB,-1.353,60.3964,2.0,1685728816.0
7,Hithadhoo,81.48,76.0,4.88,1282256.0,MV,73.0833,-0.6,100.0,1685728819.0
8,Ponta Delgada,68.72,77.0,13.8,3372783.0,PT,-25.6667,37.7333,40.0,1685728821.0
9,Kaitangata,43.18,87.0,7.16,2208248.0,NZ,169.8464,-46.2817,80.0,1685728823.0
10,Neiafu,75.88,88.0,2.3,4032420.0,TO,-173.9833,-18.65,75.0,1685728825.0
11,Busselton,57.74,66.0,11.14,2075265.0,AU,115.3333,-33.65,6.0,1685728827.0
12,Kudahuvadhoo,81.81,75.0,23.35,1337607.0,MV,72.8944,2.6708,100.0,1685728830.0
13,Port Macquarie,55.27,99.0,2.84,2152659.0,AU,152.9167,-31.4333,80.0,1685728832.0
14,Jamestown,85.42,28.0,3.44,5122534.0,US,-79.2353,42.097,40.0,1685728683.0
15,Nantucket,66.34,88.0,8.05,4944903.0,US,-70.0995,41.2835,40.0,1685728727.0
16,São João da Barra,77.09,55.0,10.18,3448903.0,BR,-41.0511,-21.6403,58.0,1685728838.0
17,Castlebar,65.64,71.0,6.44,2965654.0,IE,-9.3,53.85,13.0,1685728840.0
18,Katobu,74.01,95.0,4.29,1640972.0,ID,122.5276,-4.9408,42.0,1685728843.0
19,Port Lincoln,57.18,48.0,5.21,2063036.0,AU,135.8667,-34.7333,90.0,1685728845.0
20,Padampur,85.68,40.0,4.07,1260938.0,IN,73.6167,29.6833,0.0,1685728847.0
