,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,58.84,88.0,6.91,5954718.0,CA,-101.865,54.7682,100.0,1685714403.0
1,Severo-Kuril'sk,39.07,96.0,12.48,2121385.0,RU,156.125,50.6789,97.0,1685714409.0
2,Codrington,51.03,83.0,5.14,2171099.0,AU,141.9667,-38.2667,100.0,1685714416.0
3,Bredasdorp,68.11,67.0,2.21,1015776.0,ZA,20.0403,-34.5322,100.0,1685714421.0
4,Kindersley,51.82,93.0,11.5,5992154.0,CA,-109.1682,51.4668,75.0,1685714425.0
5,Kavieng,82.62,75.0,7.78,2094342.0,PG,150.7967,-2.5744,100.0,1685714430.0
6,Brae,48.45,64.0,8.7,2654970.0,GB,-1.353,60.3964,5.0,1685714433.0
7,Hithadhoo,82.71,76.0,8.81,1282256.0,MV,73.0833,-0.6,100.0,1685714435.0
8,Ponta Delgada,68.72,77.0,13.8,3372783.0,PT,-25.6667,37.7333,20.0,1685714424.0
9,Kaitangata,43.5,93.0,7.78,2208248.0,NZ,169.8464,-46.2817,100.0,1685714439.0
10,Neiafu,75.88,88.0,2.3,4032420.0,TO,-173.9833,-18.65,75.0,1685714442.0
11,Busselton,53.49,66.0,8.7,2075265.0,AU,115.3333,-33.65,16.0,1685714355.0
12,Kudahuvadhoo,82.47,74.0,20.96,1337607.0,MV,72.8944,2.6708,100.0,1685714446.0
13,Port Macquarie,52.9,93.0,6.15,2152659.0,AU,152.9167,-31.4333,64.0,1685714377.0
14,Jamestown,73.04,53.0,3.44,5122534.0,US,-79.2353,42.097,0.0,1685714406.0
15,Nantucket,61.72,97.0,5.75,4944903.0,US,-70.0995,41.2835,100.0,1685714176.0
16,São João da Barra,77.09,55.0,9.62,3448903.0,BR,-41.0511,-21.6403,23.0,1685714454.0
17,Castlebar,66.87,53.0,6.8,2965654.0,IE,-9.3,53.85,6.0,1685714456.0
18,Katobu,74.16,95.0,5.53,1640972.0,ID,122.5276,-4.9408,84.0,1685714458.0
19,Port Lincoln,61.99,41.0,7.81,2063036.0,AU,135.8667,-34.7333,92.0,1685714460.0
