,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness,datetime
0,Flin Flon,75.04,69.0,4.61,5954718.0,CA,-101.865,54.7682,75.0,1685829602.0
1,Severo-Kuril'sk,38.75,97.0,24.47,2121385.0,RU,156.125,50.6789,100.0,1685829604.0
2,Codrington,49.53,92.0,8.84,2171099.0,AU,141.9667,-38.2667,100.0,1685829607.0
3,Bredasdorp,54.36,69.0,9.53,1015776.0,ZA,20.0403,-34.5322,100.0,1685829614.0
4,Kindersley,68.02,83.0,8.05,5992154.0,CA,-109.1682,51.4668,100.0,1685829617.0
5,Kavieng,82.36,75.0,5.03,2094342.0,PG,150.7967,-2.5744,100.0,1685829620.0
6,Brae,48.74,93.0,5.95,2654970.0,GB,-1.353,60.3964,16.0,1685829623.0
7,Hithadhoo,82.81,74.0,8.63,1282256.0,MV,73.0833,-0.6,96.0,1685829625.0
8,Ponta Delgada,66.92,88.0,2.3,3372783.0,PT,-25.6667,37.7333,40.0,1685829626.0
9,Kaitangata,43.43,97.0,2.71,2208248.0,NZ,169.8464,-46.2817,100.0,1685829630.0
10,Neiafu,75.88,73.0,4.61,4032420.0,TO,-173.9833,-18.65,75.0,1685829632.0
11,Busselton,63.93,60.0,23.53,2075265.0,AU,115.3333,-33.65,94.0,1685829634.0
12,Kudahuvadhoo,79.88,81.0,7.83,1337607.0,MV,72.8944,2.6708,100.0,1685829636.0
13,Port Macquarie,59.9,86.0,3.27,2152659.0,AU,152.9167,-31.4333,90.0,1685829639.0
14,Jamestown,74.46,38.0,19.57,5122534.0,US,-79.2353,42.097,0.0,1685829573.0
15,Nantucket,50.07,87.0,27.63,4944903.0,US,-70.0995,41.2835,100.0,1685829511.0
16,São João da Barra,69.89,82.0,3.36,3448903.0,BR,-41.0511,-21.6403,0.0,1685829645.0
17,Castlebar,58.24,93.0,3.22,2965654.0,IE,-9.3,53.85,0.0,1685829647.0
18,Katobu,74.26,97.0,3.74,1640972.0,ID,122.5276,-4.9408,95.0,1685829649.0
19,Port Lincoln,61.18,73.0,8.61,2063036.0,AU,135.8667,-34.7333,100.0,1685829520.0
20,Padampur,86.47,35.0,5.39,1260938.0,IN,73.6167,29.6833,72.0,1685829654.0
21,Cayenne,80.64,83.0,1.14,3382160.0,GF,-52.3333,4.9333,75.0,1685829596.0
22,Norman Wells,69.84,32.0,5.75,6089245.0,CA,-126.8329,65.282,40.0,1685829658.0
23,Upernavik,29.64,80.0,7.38,3418910.0,GL,-56.1549,72.7868,74.0,1685829385.0
24,Ushuaia,38.86,75.0,2.3,3833367.0,AR,-68.3,-54.8,0.0,1685829662.0
25,Tasiilaq,30.36,91.0,1.1,3424607.0,GL,-37.6368,65.6145,71.0,1685829664.0
26,Thunder Bay,80.51,47.0,10.36,6166142.0,CA,-89.3168,48.4001,75.0,1685829666.0
27,Provideniya,39.13,79.0,5.99,4031574.0,RU,-173.3,64.3833,98.0,1685829669.0
28,Cap Malheureux,75.47,70.0,1.99,934649.0,MU,57.6142,-19.9842,27.0,1685829671.0
29,West Wendover,70.81,28.0,4.61,5710035.0,US,-114.0733,40.7391,40.0,1685829587.0
30,Tautira,77.36,72.0,6.91,4033557.0,PF,-149.15,-17.7333,14.0,1685829675.0
31,Avarua,75.25,64.0,5.75,4035715.0,CK,-159.775,-21.2078,20.0,1685829677.0
32,Punta Arenas,39.31,87.0,11.5,3874787.0,CL,-70.9167,-53.15,100.0,1685829617.0
33,Ozernovskiy,39.49,93.0,19.3,2122293.0,RU,156.5167,51.5,100.0,1685829682.0
34,Aksu,69.06,32.0,8.68,1529660.0,CN,80.2644,41.1231,100.0,1685829684.0
35,Arrondissement d'Ajaccio,62.58,73.0,4.61,3038333.0,FR,8.9167,42.0,0.0,1685829686.0
36,Cabedelo,79.47,78.0,13.56,3404558.0,BR,-34.8339,-6.9811,26.0,1685829689.0
37,Dikson,30.88,89.0,4.38,1507390.0,RU,80.5464,73.5069,100.0,1685829691.0
38,Hobart,35.73,92.0,12.66,2163355.0,AU,147.3294,-42.8794,0.0,1685829693.0
39,Vestmannaeyjar,47.91,78.0,11.12,3412093.0,IS,-20.2734,63.4427,100.0,1685829695.0
40,Alofi,75.09,88.0,9.22,4036284.0,NU,-169.9187,-19.0595,100.0,1685829697.0
41,Carnarvon,60.3,44.0,9.15,2074865.0,AU,113.6333,-24.8667,0.0,1685829701.0
42,Saint-Philippe,69.39,74.0,12.03,935215.0,RE,55.7679,-21.3585,29.0,1685829703.0
43,Cabra,68.68,57.0,5.26,2520645.0,ES,-4.4421,37.4725,97.0,1685829483.0
44,Feldbach,54.46,95.0,1.68,2779685.0,AT,15.8883,46.9531,20.0,1685829707.0
45,Tual,81.18,81.0,18.25,1623197.0,ID,132.75,-5.6667,28.0,1685829710.0
46,Longyearbyen,35.44,69.0,2.3,2729907.0,SJ,15.6401,78.2186,0.0,1685829702.0
47,Dukat,56.71,50.0,1.9,2125906.0,RU,155.55,62.55,94.0,1685829714.0
48,Jalu,82.27,27.0,11.18,86049.0,LY,21.5482,29.0331,47.0,1685829716.0
49,Vaini,75.36,69.0,8.05,4032243.0,TO,-175.2,-21.2,20.0,1685829718.0
50,Albany,61.02,79.0,1.99,5106841.0,US,-73.9662,42.6001,86.0,1685829643.0
51,Karaton,74.1,95.0,1.36,1630058.0,ID,106.1045,-6.3424,54.0,1685829723.0
52,Saldanha,51.85,72.0,3.85,3361934.0,ZA,17.9442,-33.0117,11.0,1685829725.0
53,Castro,55.42,84.0,4.34,3466704.0,BR,-50.0119,-24.7911,0.0,1685829641.0
54,Inhambane,74.03,79.0,13.62,1045114.0,MZ,35.3833,-23.865,43.0,1685829729.0
55,Mataura,42.62,98.0,2.95,6201424.0,NZ,168.8643,-46.1927,100.0,1685829731.0
56,Puerto Ayora,79.56,91.0,5.99,3652764.0,EC,-90.3518,-0.7393,65.0,1685829526.0
57,Arraial do Cabo,69.66,83.0,5.75,3471451.0,BR,-42.0278,-22.9661,0.0,1685829736.0
58,Obihiro,51.8,85.0,4.94,2128815.0,JP,143.2044,42.9172,21.0,1685829738.0
59,Penzance,56.08,83.0,8.75,2640377.0,GB,-5.5371,50.1186,20.0,1685829740.0
60,Butaritari,83.5,77.0,11.99,2110227.0,KI,172.7902,3.0707,99.0,1685829742.0
61,Rikitea,75.16,65.0,12.03,4030556.0,PF,-134.9692,-23.1203,100.0,1685829744.0
62,Namatanai,81.23,78.0,5.77,2090021.0,PG,152.4333,-3.6667,79.0,1685829746.0
63,Isangel,75.31,83.0,2.3,2136825.0,VU,169.2667,-19.55,20.0,1685829749.0
64,Saint George,92.23,12.0,10.36,5546220.0,US,-113.5841,37.1041,0.0,1685829614.0
65,Kruisfontein,56.88,83.0,16.69,986717.0,ZA,24.7314,-34.0033,97.0,1685829753.0
66,Mwinilunga,57.18,52.0,3.31,902620.0,ZM,24.4293,-11.7358,23.0,1685829755.0
67,Port Alfred,57.18,82.0,4.0,964432.0,ZA,26.891,-33.5906,48.0,1685829757.0
68,Marzuq,79.3,56.0,5.73,72181.0,YE,46.4667,14.4,24.0,1685829759.0
69,Puerto Escondido,94.01,46.0,7.78,3520994.0,MX,-97.0667,15.85,2.0,1685829613.0
70,Sivaki,56.53,72.0,7.94,2016477.0,RU,126.75,52.6333,54.0,1685829764.0
71,Yellowknife,70.32,40.0,18.99,6185377.0,CA,-114.3525,62.456,100.0,1685829658.0
72,Canchungo,82.53,61.0,8.08,2373951.0,GW,-16.0333,12.0672,96.0,1685829768.0
73,Östersund,41.45,38.0,18.41,2685750.0,SE,14.6357,63.1792,100.0,1685829770.0
74,Fort Nelson,75.94,41.0,6.91,5955902.0,CA,-122.7002,58.8053,20.0,1685829772.0
75,Castelo Branco,64.04,70.0,4.05,2269514.0,PT,-7.4909,39.8222,8.0,1685829774.0
76,Black River,83.93,73.0,4.94,3491355.0,JM,-77.8487,18.0264,8.0,1685829777.0
77,Atuona,80.55,78.0,10.42,4020109.0,PF,-139.0333,-9.8,21.0,1685829677.0
78,Birao,83.35,57.0,6.91,240210.0,CF,22.7882,10.2849,69.0,1685829781.0
79,Ekhabi,37.45,94.0,3.6,2122614.0,RU,142.9671,53.5102,100.0,1685829783.0
80,Barrow,35.62,80.0,17.27,5880054.0,US,-156.7887,71.2906,0.0,1685829785.0
81,Hilo,79.34,80.0,4.0,5855927.0,US,-155.09,19.7297,66.0,1685829609.0
82,Mehamn,44.55,87.0,2.3,778707.0,NO,27.8492,71.0357,100.0,1685829789.0
83,Shingū,66.11,48.0,3.87,1847947.0,JP,135.9833,33.7333,3.0,1685829792.0
84,George Town,78.24,92.0,5.01,1735106.0,MY,100.3354,5.4112,40.0,1685829757.0
85,Russell,86.99,37.0,9.22,4047434.0,US,-85.1999,32.3502,0.0,1685829796.0
86,Sidhi,88.21,28.0,2.53,1256369.0,IN,81.8833,24.4167,3.0,1685829798.0
87,Laramie,57.07,62.0,10.36,5830062.0,US,-105.5911,41.3114,100.0,1685829540.0
88,Bluff,47.95,71.0,15.52,2206939.0,NZ,168.3333,-46.6,100.0,1685829802.0
89,Bayir,57.72,86.0,2.13,304183.0,TR,28.2167,37.2687,88.0,1685829804.0
90,Vila Velha,71.55,78.0,9.22,3445026.0,BR,-40.2925,-20.3297,40.0,1685829807.0
91,Kapaa,80.28,67.0,9.22,5848280.0,US,-159.319,22.0752,0.0,1685829809.0
92,Margate,53.96,81.0,8.01,2643044.0,GB,1.3862,51.3813,4.0,1685829811.0
93,Kamaishi,61.29,70.0,8.59,2112444.0,JP,141.8833,39.2667,9.0,1685829813.0
94,Stăncuţa,58.53,60.0,9.6,666309.0,RO,27.8333,44.9,24.0,1685829816.0
95,Ankang,61.41,99.0,2.21,1789065.0,CN,109.0172,32.68,100.0,1685829818.0
96,Port Elizabeth,58.32,75.0,11.01,964420.0,ZA,25.5701,-33.918,97.0,1685829820.0
97,Morant Bay,85.62,72.0,9.31,3489440.0,JM,-76.4093,17.8815,7.0,1685829822.0
98,São Miguel,78.24,77.0,15.03,3388304.0,BR,-35.3667,-5.4667,32.0,1685829824.0
99,Guerrero Negro,67.78,59.0,20.54,4021858.0,MX,-114.0611,27.9769,0.0,1685829826.0
100,Husavik,51.91,65.0,1.03,2629833.0,IS,-17.3389,66.0449,52.0,1685829828.0
101,Ahipara,57.81,76.0,4.43,2194098.0,NZ,173.1667,-35.1667,100.0,1685829830.0
102,Saint Paul Harbor,47.71,71.0,13.8,5866583.0,US,-152.4072,57.79,100.0,1685829833.0
103,Mahébourg,75.49,64.0,10.36,934322.0,MU,57.7,-20.4081,40.0,1685829668.0
104,Mount Isa,49.77,81.0,0.0,2065594.0,AU,139.5,-20.7333,1.0,1685829661.0
105,Te Anau,38.89,98.0,1.77,2181625.0,NZ,167.7167,-45.4167,100.0,1685829840.0
106,Alenquer,81.0,77.0,2.95,3407980.0,BR,-54.7383,-1.9417,47.0,1685829843.0
107,São Miguel do Araguaia,80.82,42.0,1.41,3448455.0,BR,-50.1628,-13.275,22.0,1685829637.0
108,Kriel,52.81,39.0,6.82,987202.0,ZA,29.2253,-26.2739,1.0,1685829847.0
109,Marsh Harbour,81.77,63.0,4.0,3571913.0,BS,-77.0636,26.5412,31.0,1685829849.0
110,Souillac,75.58,64.0,10.36,933995.0,MU,57.5167,-20.5167,40.0,1685829851.0
111,Tigil',51.85,56.0,12.71,2120612.0,RU,158.6667,57.8,6.0,1685829853.0
112,Kaeo,57.78,69.0,2.93,2189343.0,NZ,173.7833,-35.1,91.0,1685829855.0
113,Cape Town,52.83,86.0,8.05,3369157.0,ZA,18.4232,-33.9258,75.0,1685829858.0
114,Cidreira,66.54,72.0,4.92,3466165.0,BR,-50.2056,-30.1811,1.0,1685829860.0
115,Khatanga,34.77,96.0,20.04,2022572.0,RU,102.5,71.9667,100.0,1685829862.0
116,Karlshamn,50.49,74.0,6.55,2701727.0,SE,14.8619,56.1706,13.0,1685829864.0
117,Pevek,32.83,76.0,1.32,2122090.0,RU,170.3133,69.7008,23.0,1685829866.0
118,Mar del Plata,57.04,83.0,3.44,3430863.0,AR,-57.5575,-38.0023,0.0,1685829630.0
119,Gobabis,56.57,31.0,9.55,3357247.0,NA,18.9667,-22.45,0.0,1685829870.0
120,Gaoyou,69.13,52.0,7.25,1810309.0,CN,119.4278,32.7858,100.0,1685829872.0
121,Bethel,59.95,72.0,12.66,5282297.0,US,-73.414,41.3712,100.0,1685829874.0
122,Santa Maria da Vitória,76.03,41.0,4.18,3450063.0,BR,-44.1886,-13.3947,0.0,1685829782.0
123,Banda Aceh,80.44,77.0,12.77,1215502.0,ID,95.3222,5.5577,100.0,1685829879.0
124,Georgiyevka,66.24,48.0,6.71,1524243.0,KZ,74.7114,43.0369,40.0,1685829881.0
125,Zonguldak,57.94,98.0,0.83,737021.0,TR,31.8333,41.25,100.0,1685829726.0
126,Booué,73.44,97.0,1.41,2401495.0,GA,11.9385,-0.0921,100.0,1685829885.0
127,Siyabuswa,62.4,34.0,2.71,955313.0,ZA,29.0445,-25.1132,15.0,1685829887.0
128,Dunedin,42.62,97.0,5.7,2191562.0,NZ,170.5036,-45.8742,100.0,1685829636.0
129,Roald,45.72,81.0,3.44,3141667.0,NO,6.1333,62.5833,100.0,1685829891.0
130,Tweed,68.86,38.0,11.72,6170799.0,CA,-77.3162,44.4751,34.0,1685829894.0
131,Nanortalik,34.38,90.0,14.05,3421765.0,GL,-45.2371,60.1432,100.0,1685829896.0
132,Port Blair,82.44,83.0,5.75,1259385.0,IN,92.75,11.6667,75.0,1685829898.0
133,Lubango,61.18,50.0,3.8,3347762.0,AO,13.4925,-14.9172,1.0,1685829900.0
134,Shumskiy,57.15,84.0,3.24,1491977.0,RU,99.1328,54.8318,100.0,1685829902.0
135,San Cristobal,84.38,69.0,6.31,3628473.0,VE,-72.225,7.7669,50.0,1685829904.0
136,Nioro,84.15,47.0,10.0,2412408.0,GM,-15.75,13.35,95.0,1685829906.0
137,Thompson,77.16,69.0,3.44,6165406.0,CA,-97.8558,55.7435,100.0,1685829909.0
138,Manaus,82.89,78.0,5.75,3663517.0,BR,-60.025,-3.1019,75.0,1685829744.0
139,Laguna,91.09,33.0,6.91,5364271.0,US,-121.4238,38.421,0.0,1685829913.0
140,Hermanus,50.81,67.0,13.89,3366880.0,ZA,19.2345,-34.4187,99.0,1685829915.0
141,Westport,60.82,72.0,14.97,4845585.0,US,-73.3579,41.1415,100.0,1685829874.0
142,Dicabisagan,78.85,88.0,2.19,1715015.0,PH,122.4157,17.0818,100.0,1685829919.0
143,Newport,58.51,95.0,6.98,2641598.0,GB,-2.9984,51.5877,0.0,1685829641.0
144,Tateyama,69.55,69.0,11.92,1850523.0,JP,139.8667,34.9833,84.0,1685829924.0
145,Kuznechikha,42.89,94.0,9.93,537760.0,RU,42.3348,57.2161,100.0,1685829926.0
146,Poum,73.71,68.0,7.74,2138555.0,NC,164.0167,-20.2333,15.0,1685829928.0
147,Chokurdakh,49.93,53.0,2.86,2126123.0,RU,147.9167,70.6333,92.0,1685829930.0
148,Coquimbo,58.73,94.0,12.66,3893629.0,CL,-71.3436,-29.9533,0.0,1685829932.0
149,Ust-Nera,58.91,49.0,5.06,2120048.0,RU,143.2,64.5667,52.0,1685829934.0
150,Kavaratti,83.21,78.0,11.68,1267390.0,IN,72.642,10.5669,82.0,1685829936.0
151,Eruwa,75.22,90.0,6.96,2338669.0,NG,3.4167,7.5333,100.0,1685829938.0
152,Polyarny,42.85,62.0,12.8,506763.0,RU,33.4478,69.1989,78.0,1685829940.0
153,Ribeira Grande,65.77,87.0,1.01,3372707.0,PT,-28.7,38.5167,12.0,1685829943.0
154,Kalemie,70.83,71.0,2.57,214974.0,CD,29.1947,-5.9475,10.0,1685829945.0
155,Tuktoyaktuk,57.2,41.0,8.05,6170031.0,CA,-133.0374,69.4541,75.0,1685829947.0
156,Tomatlán,89.82,43.0,11.12,3981391.0,MX,-105.25,19.9333,0.0,1685829949.0
157,Bratca,55.31,92.0,4.63,683837.0,RO,22.6167,46.9333,2.0,1685829951.0
158,Chiang Khong,72.01,98.0,0.76,1611197.0,TH,100.4046,20.2613,92.0,1685829953.0
159,Gijang,58.73,62.0,5.68,1842966.0,KR,129.2139,35.2442,100.0,1685829955.0
160,Vao,71.56,65.0,17.45,2137773.0,NC,167.4833,-22.6667,97.0,1685829957.0
161,Marawi,71.08,88.0,1.36,1701054.0,PH,124.2928,7.9986,93.0,1685829960.0
162,Kununurra,58.98,100.0,0.0,2068110.0,AU,128.7333,-15.7667,23.0,1685829962.0
163,Ponta do Sol,68.43,80.0,1.45,2264557.0,PT,-17.1,32.6667,99.0,1685829964.0
164,Vanimo,78.4,87.0,4.56,2084442.0,PG,141.3028,-2.6741,97.0,1685829966.0
165,Kenai,51.53,62.0,3.44,5866063.0,US,-151.2583,60.5544,100.0,1685829955.0
166,Tarnogskiy Gorodok,43.54,91.0,9.53,484314.0,RU,43.5761,60.4997,100.0,1685829970.0
167,Tottori-shi,60.87,63.0,11.5,1849892.0,JP,134.2333,35.5,0.0,1685829972.0
168,Baracoa,84.24,69.0,4.76,3567834.0,CU,-74.4958,20.3467,47.0,1685829974.0
169,Krasnyy Kholm,36.54,87.0,7.58,541704.0,RU,37.1203,58.0607,15.0,1685829976.0
170,Nabire,76.28,93.0,2.62,1634614.0,ID,135.4833,-3.3667,82.0,1685829979.0
171,Zaysan,62.08,29.0,6.51,1517060.0,KZ,84.8667,47.4667,0.0,1685829981.0
172,New Norfolk,34.36,88.0,2.44,2155415.0,AU,147.0587,-42.7826,1.0,1685829983.0
173,Muhos,44.06,87.0,5.3,645765.0,FI,25.9931,64.808,100.0,1685829985.0
174,Sabzawār,73.27,46.0,5.41,118063.0,IR,57.6819,36.2126,13.0,1685829987.0
175,Catuday,79.18,84.0,6.53,1717787.0,PH,119.8062,16.2923,99.0,1685829989.0
176,Enshi,68.47,97.0,0.25,1811720.0,CN,109.4833,30.3,100.0,1685829991.0
177,Timiryazevskiy,66.07,77.0,1.23,1489597.0,RU,84.8769,56.49,98.0,1685829993.0
178,Aklavik,62.6,29.0,6.91,5882953.0,CA,-135.0107,68.2191,75.0,1685829996.0
179,Pochutla,91.81,52.0,8.55,3517970.0,MX,-96.4661,15.7432,53.0,1685829998.0
180,Bathsheba,83.01,83.0,6.91,3374083.0,BB,-59.5167,13.2167,40.0,1685830000.0
