,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
234,Flinders,60.17,61.0,7.0,6255012.0,AU,150.8552,-34.5833,2.0
235,Broome,51.19,70.0,3.24,5110365.0,US,-75.833,42.2506,0.0
236,Mossamedes,67.37,56.0,10.31,3347019.0,AO,12.1522,-15.1961,22.0
237,Orange Cove,61.65,86.0,5.75,5379533.0,US,-119.3137,36.6244,0.0
238,Barra Patuca,79.29,81.0,2.62,3614835.0,HN,-84.2833,15.8,99.0
239,Arlit,99.9,9.0,15.97,2447513.0,NE,7.3853,18.7369,36.0
240,Chilia Veche,74.53,57.0,13.49,682117.0,RO,29.2833,45.4167,89.0
241,Conde,74.66,100.0,5.75,3385077.0,BR,-34.9075,-7.2597,100.0
242,Bulungu,83.07,65.0,3.22,2316259.0,CD,18.6,-4.55,100.0
243,Baker City,48.33,93.0,0.0,5712169.0,US,-117.8344,44.7749,0.0
244,Rājākhera,95.07,22.0,11.56,1258930.0,IN,78.1714,26.8961,69.0
245,Portland,52.74,83.0,4.61,5746545.0,US,-122.6762,45.5234,0.0
246,Birkeland,58.75,29.0,8.05,3161532.0,NO,8.2323,58.3309,0.0
247,Dvinskoy Bereznik,66.85,24.0,9.62,577240.0,RU,42.7072,62.8551,2.0
248,Jalingo,89.71,53.0,8.66,2336589.0,NG,11.3667,8.8833,67.0
249,Yar-Sale,51.82,51.0,16.8,1486321.0,RU,70.8333,66.8333,100.0
250,Tafresh,80.22,20.0,5.5,113636.0,IR,50.013,34.692,7.0
251,Homer,44.17,79.0,4.0,5864145.0,US,-151.5483,59.6425,75.0
252,Mandalgovi,69.42,12.0,18.1,2030065.0,MN,106.2708,45.7625,100.0
253,Kibala,81.99,58.0,6.98,2425791.0,TD,18.3463,9.1104,99.0
254,Ulladulla,51.76,54.0,12.59,2145554.0,AU,150.4667,-35.35,2.0
255,Sitka,44.49,76.0,9.22,5557293.0,US,-135.33,57.0531,100.0
256,Leningradskiy,32.45,93.0,22.46,2123814.0,RU,178.4167,69.3833,100.0
257,Takāb,73.62,36.0,13.02,113508.0,IR,47.1133,36.4009,92.0
258,Tarancón,60.46,66.0,5.01,3108317.0,ES,-3.0073,40.0085,54.0
259,Goderich,48.52,76.0,3.44,5962442.0,CA,-81.7165,43.7501,7.0
260,Rosa Zarate,72.63,98.0,1.05,3652257.0,EC,-79.4667,0.3333,90.0
261,Luganville,76.01,77.0,5.46,2136150.0,VU,167.1667,-15.5333,7.0
262,Druzhba,63.43,46.0,8.08,709584.0,UA,33.9453,52.0428,5.0
263,Valea lui Mihai,64.11,56.0,3.04,663692.0,RO,22.15,47.5167,81.0
264,Ancud,41.81,86.0,5.66,3899695.0,CL,-73.8203,-41.8697,89.0
265,Matagami,41.54,67.0,5.23,6067747.0,CA,-77.6328,49.7502,36.0
266,Peniche,64.06,85.0,4.74,2264923.0,PT,-9.3811,39.3558,21.0
267,Miraflores,57.87,76.0,3.09,3761194.0,MX,-98.8083,19.2167,69.0
268,Lebu,44.91,82.0,6.38,3883457.0,CL,-73.65,-37.6167,4.0
269,Crawley,55.92,60.0,17.27,2652053.0,GB,-0.1831,51.113,40.0
270,Khonsa,86.23,44.0,3.36,1266668.0,IN,95.5667,27.0167,8.0
271,Yumen,77.14,15.0,28.83,1528998.0,CN,97.2,40.2833,3.0
272,Bubaque,81.54,78.0,13.15,2374583.0,GW,-15.8333,11.2833,100.0
273,Ribas do Rio Pardo,61.88,96.0,4.07,3451399.0,BR,-53.7592,-20.4431,98.0
274,Malbork,64.53,53.0,7.56,3092472.0,PL,19.0266,54.0359,91.0
275,Saint-Leu,79.2,91.0,3.11,6690297.0,RE,55.2833,-21.15,83.0
276,Arkhara,60.04,45.0,10.47,2027487.0,RU,130.0842,49.4212,90.0
277,Tura,88.63,46.0,4.54,1254046.0,IN,90.2201,25.5198,47.0
278,Ingham,51.13,83.0,0.0,4997130.0,US,-84.3833,42.6,0.0
279,Sarandi,59.36,91.0,5.41,3447998.0,BR,-51.8739,-23.4436,86.0
280,Biak,80.69,76.0,6.89,1637001.0,ID,122.8766,-0.9131,67.0
281,Nieuw Amsterdam,76.01,94.0,4.34,3383434.0,SR,-55.0833,5.8833,100.0
282,Boundiali,82.67,66.0,6.26,2290836.0,CI,-6.4869,9.5217,5.0
283,Aitape,81.55,80.0,3.09,2101169.0,PG,142.3475,-3.1374,100.0
284,Manadhoo,84.34,74.0,10.78,1337618.0,MV,73.3833,5.7667,100.0
285,Ca Mau,88.29,61.0,12.91,1586443.0,VN,105.15,9.1769,86.0
286,San Patricio,71.44,85.0,3.44,4726521.0,US,-97.5169,28.017,32.0
287,Portree,51.53,77.0,3.53,2640006.0,GB,-6.1942,57.4129,98.0
288,Srednekolymsk,51.12,42.0,11.5,2121025.0,RU,153.6833,67.45,36.0
289,Zhangaözen,93.9,19.0,15.28,607610.0,KZ,52.8,43.3,77.0
290,Mayo,63.12,87.0,4.61,4362001.0,US,-76.5119,38.8876,100.0
291,Hualmay,69.21,86.0,7.34,3939761.0,PE,-77.6139,-11.0964,100.0
292,Púchov,69.44,56.0,3.02,3057963.0,SK,18.326,49.1249,100.0
293,Hong Kong,91.04,68.0,11.99,1819729.0,HK,114.1577,22.2855,0.0
294,Dzilam González,74.05,90.0,4.27,3529654.0,MX,-88.9333,21.2833,46.0
295,Sistranda,44.56,87.0,32.37,3139597.0,NO,8.834,63.7256,100.0
296,Ondjiva,78.24,31.0,7.52,3346821.0,AO,15.7333,-17.0667,29.0
297,Taguatinga,68.63,56.0,3.98,6319623.0,BR,-46.5711,-12.3857,42.0
298,Evensk,52.68,59.0,2.42,2125693.0,RU,159.2333,61.95,98.0
299,Katsuura,70.2,95.0,9.17,2112309.0,JP,140.3,35.1333,100.0
300,Ambovombe,78.08,55.0,5.48,1079048.0,MG,46.0833,-25.1667,0.0
301,Pisco,69.85,73.0,3.44,3932145.0,PE,-76.2167,-13.7,100.0
302,Lala,81.9,81.0,4.27,1707944.0,PH,123.7458,7.9745,100.0
303,East London,66.27,72.0,2.82,1006984.0,ZA,27.9116,-33.0153,100.0
304,Nyurba,64.98,28.0,4.68,2018735.0,RU,118.3319,63.2842,41.0
305,Baykit,67.84,33.0,5.3,1510689.0,RU,96.37,61.67,92.0
306,Muyezerskiy,53.42,55.0,12.62,524100.0,RU,31.65,63.9333,93.0
307,Umarkot,105.87,22.0,5.66,1162959.0,PK,69.7362,25.3616,49.0
308,Paamiut,33.87,79.0,16.28,3421193.0,GL,-49.6678,61.994,69.0
309,Gberia Fotombu,78.67,82.0,6.64,2409019.0,SL,-11.1667,9.8833,87.0
310,Auki,78.62,87.0,5.68,2109701.0,SB,160.7034,-8.7676,71.0
311,Timmins,49.24,69.0,5.41,6166739.0,CA,-81.3331,48.4669,12.0
312,Pachino,69.17,69.0,5.35,6539213.0,IT,15.0907,36.7186,91.0
313,Arrondissement d'Arcachon,69.87,73.0,5.75,6621469.0,FR,-1.0519,44.5875,0.0
314,Avera,56.59,94.0,4.36,4231997.0,US,-82.5271,33.194,70.0
315,Bonthe,83.52,75.0,1.59,2409914.0,SL,-12.505,7.5264,57.0
316,Songjianghe,66.13,37.0,9.86,2034691.0,CN,127.479,42.1859,5.0
317,Salisbury,56.61,60.0,19.57,2638664.0,GB,-1.7957,51.0693,75.0
318,Xi'an,64.89,95.0,2.53,1790630.0,CN,108.9286,34.2583,100.0
319,Touros,74.89,92.0,10.07,3386213.0,BR,-35.4608,-5.1989,76.0
320,Boda,80.6,63.0,5.03,2388614.0,CF,17.4695,4.3189,100.0
321,Mayumba,79.23,74.0,6.76,2399001.0,GA,10.6554,-3.432,68.0
322,Chul'man,57.06,38.0,2.55,2025261.0,RU,124.9104,56.8479,99.0
323,Tambacounda,91.45,55.0,11.5,2244991.0,SN,-13.7586,13.7539,0.0
324,Bushehr,89.69,48.0,13.8,139817.0,IR,50.8385,28.9684,0.0
325,Port Hardy,50.18,93.0,5.75,6111862.0,CA,-127.4199,50.6996,75.0
326,Shashi,81.3,76.0,8.41,1795816.0,CN,112.2447,30.3072,87.0
327,Grand-Lahou,83.86,75.0,5.77,2288105.0,CI,-5.0242,5.1367,100.0
328,State College,55.71,80.0,1.99,5213681.0,US,-77.86,40.7934,0.0
329,Teguise,68.22,73.0,2.3,2510573.0,ES,-13.564,29.0605,40.0
330,Magdagachi,61.97,40.0,8.95,2020591.0,RU,125.8,53.45,85.0
331,Gaozhou,91.9,53.0,3.87,1810295.0,CN,110.8461,21.9392,24.0
332,Meulaboh,85.55,64.0,6.24,1214488.0,ID,96.1285,4.1363,39.0
333,Río Gallegos,41.05,93.0,3.44,3838859.0,AR,-69.2181,-51.6226,0.0
334,Chaihe,63.01,45.0,0.56,2038198.0,CN,129.7,44.7667,64.0
335,Nikel,55.58,46.0,6.8,522260.0,RU,30.222,69.4128,100.0
336,Beringovskiy,43.9,71.0,14.29,2126710.0,RU,179.3167,63.05,100.0
337,Coyhaique,35.55,93.0,2.3,3894426.0,CL,-72.0662,-45.5752,0.0
338,Vardø,48.18,71.0,14.97,777019.0,NO,31.1107,70.3705,100.0
339,Talnakh,38.21,93.0,8.39,1490256.0,RU,88.3972,69.4865,100.0
340,Faya,77.52,52.0,6.04,110690.0,SA,42.4509,18.3851,81.0
341,Znamenskoye,58.77,91.0,2.73,1485020.0,RU,73.8282,57.1281,100.0
342,Manavgat,67.24,83.0,5.77,304854.0,TR,31.4431,36.7867,100.0
343,Cairns,67.01,69.0,5.75,2172797.0,AU,145.7667,-16.9167,96.0
344,Klaksvík,49.12,92.0,25.55,2618795.0,FO,-6.589,62.2266,99.0
345,Fonte Boa,72.99,97.0,0.34,6319315.0,BR,-66.2662,-2.4959,36.0
346,Piaçabuçu,75.15,82.0,3.62,3454005.0,BR,-36.4344,-10.4056,17.0
347,Havøysund,48.43,85.0,30.8,779622.0,NO,24.6622,70.9963,43.0
348,Boden,53.6,28.0,12.01,606531.0,SE,21.6886,65.8252,6.0
349,Nhulunbuy,75.81,69.0,13.8,2064735.0,AU,136.7667,-12.2333,40.0
350,Kamenka,66.52,56.0,9.86,553766.0,RU,42.7678,51.3223,99.0
351,Kazachinskoye,72.23,24.0,10.25,1504075.0,RU,93.2761,57.6953,100.0
352,Geraldton,72.01,46.0,10.36,2070998.0,AU,114.6,-28.7667,100.0
353,Maxixe,84.02,58.0,11.5,1039536.0,MZ,35.3472,-23.8597,40.0
354,Leon Valley,69.87,85.0,3.44,4705923.0,US,-98.6186,29.4952,100.0
355,Nome,33.87,86.0,16.11,5870133.0,US,-165.4064,64.5011,100.0
356,Manokwari,82.44,79.0,9.73,1636308.0,ID,134.0833,-0.8667,53.0
357,Grand-Santi,72.3,99.0,1.48,3381538.0,GF,-54.3833,4.25,100.0
358,Faanui,81.5,77.0,16.58,4034551.0,PF,-151.75,-16.4833,14.0
359,Clyde River,25.03,86.0,6.91,5924351.0,CA,-68.5914,70.4692,100.0
360,Kosa,67.91,81.0,8.99,544318.0,RU,54.9977,59.9445,100.0
361,Blackwater,57.97,34.0,8.3,2175403.0,AU,148.8833,-23.5833,2.0
362,Assiniboia,51.62,87.0,3.44,5887798.0,CA,-105.9845,49.6334,99.0
363,Bambous Virieux,80.85,61.0,14.97,1106677.0,MU,57.7575,-20.3428,40.0
364,Arona,65.37,77.0,5.75,2521582.0,ES,-16.681,28.0996,20.0
365,Belyy Yar,58.89,58.0,6.71,1510377.0,RU,91.3903,53.6039,0.0
366,San Miguel,73.17,97.0,2.68,3583446.0,SV,-88.1833,13.4833,98.0
367,Maniitsoq,28.31,50.0,3.33,3421982.0,GL,-52.9,65.4167,9.0
368,Freeport,59.94,84.0,5.75,5117949.0,US,-73.5832,40.6576,0.0
369,Constitución,49.71,65.0,8.39,3893726.0,CL,-72.4167,-35.3333,69.0
370,Tarakan,92.7,62.0,4.61,1624725.0,ID,117.6333,3.3,40.0
371,Nirmal,105.89,16.0,2.89,1261288.0,IN,78.35,19.1,39.0
372,Zmeinogorsk,63.32,48.0,7.54,1485042.0,RU,82.195,51.1567,86.0
373,Valparaíso,57.99,61.0,4.61,3868626.0,CL,-71.6273,-33.0393,0.0
374,Caravelas,68.0,97.0,3.89,3466980.0,BR,-39.2481,-17.7125,88.0
375,Torbay,44.62,97.0,17.27,6167817.0,CA,-52.7314,47.6666,100.0
376,Le Port,78.82,91.0,5.3,935616.0,RE,55.2919,-20.9373,71.0
377,Kumul,80.08,20.0,13.56,1529484.0,CN,93.45,42.8,51.0
378,Inverell,44.11,78.0,2.48,2162662.0,AU,151.1167,-29.7833,1.0
379,Tortolì,75.02,57.0,9.22,2522890.0,IT,9.6572,39.9256,20.0
380,Beipiao,81.95,13.0,12.35,2038342.0,CN,120.7792,41.7919,10.0
381,Novo Aripuanã,73.63,90.0,1.95,3663142.0,BR,-60.3797,-5.1206,16.0
382,Akdepe,93.83,9.0,11.59,601551.0,TM,59.3788,42.0551,0.0
383,Pangnirtung,26.11,92.0,3.83,6096551.0,CA,-65.7125,66.1451,100.0
384,Komatipoort,77.05,36.0,9.71,988290.0,ZA,31.9548,-25.4332,99.0
385,Kailua,74.26,79.0,5.75,5847486.0,US,-157.7394,21.4022,0.0
386,Massakory,95.61,31.0,13.58,2428228.0,TD,15.7293,12.996,100.0
387,Byron Bay,52.72,58.0,2.82,2172880.0,AU,153.6167,-28.65,0.0
388,Dawson Creek,56.84,41.0,10.36,5935804.0,CA,-120.2362,55.7666,0.0
389,Port-Gentil,82.36,78.0,12.66,2396518.0,GA,8.7815,-0.7193,75.0
390,Augusto Corrêa,73.49,97.0,3.06,3406961.0,BR,-46.635,-1.0217,100.0
391,Araouane,94.68,18.0,15.99,2460954.0,ML,-3.5265,18.9048,6.0
392,Coahuayana Viejo,76.69,89.0,2.59,4013679.0,MX,-103.6833,18.7333,2.0
393,Mount Gambier,52.75,85.0,5.77,2156643.0,AU,140.7667,-37.8333,100.0
394,Swan River,62.49,88.0,2.3,6160362.0,CA,-101.2676,52.1058,99.0
