,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,55.81,99.0,4.76,5954718.0,CA,-101.865,54.7682,68.0
1,Severo-Kuril'sk,44.67,94.0,16.73,2121385.0,RU,156.125,50.6789,100.0
2,Codrington,58.78,67.0,12.95,2171099.0,AU,141.9667,-38.2667,54.0
3,Bredasdorp,55.17,89.0,6.85,1015776.0,ZA,20.0403,-34.5322,40.0
4,Kindersley,66.22,55.0,6.91,5992154.0,CA,-109.1682,51.4668,40.0
5,Kavieng,81.73,78.0,20.87,2094342.0,PG,150.7967,-2.5744,100.0
6,Brae,48.47,88.0,24.54,2654970.0,GB,-1.353,60.3964,78.0
7,Hithadhoo,82.72,74.0,7.07,1282256.0,MV,73.0833,-0.6,100.0
8,Ponta Delgada,61.52,94.0,10.36,3372783.0,PT,-25.6667,37.7333,40.0
9,Kaitangata,58.93,65.0,0.47,2208248.0,NZ,169.8464,-46.2817,100.0
10,Neiafu,81.28,83.0,11.5,4032420.0,TO,-173.9833,-18.65,40.0
11,Busselton,66.72,62.0,9.69,2075265.0,AU,115.3333,-33.65,100.0
12,Kudahuvadhoo,84.29,74.0,11.03,1337607.0,MV,72.8944,2.6708,41.0
13,Port Macquarie,70.9,26.0,6.11,2152659.0,AU,152.9167,-31.4333,3.0
14,Jamestown,63.25,56.0,5.75,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,61.72,75.0,18.19,4944903.0,US,-70.0995,41.2835,0.0
16,São João da Barra,64.8,88.0,4.65,3448903.0,BR,-41.0511,-21.6403,16.0
17,Castlebar,47.59,94.0,3.85,2965654.0,IE,-9.3,53.85,82.0
18,Katobu,85.51,58.0,7.63,1640972.0,ID,122.5276,-4.9408,41.0
19,Port Lincoln,64.71,67.0,14.27,2063036.0,AU,135.8667,-34.7333,51.0
20,Padampur,81.7,52.0,5.32,1260938.0,IN,73.6167,29.6833,100.0
21,Cayenne,73.44,100.0,0.0,3382160.0,GF,-52.3333,4.9333,75.0
22,Norman Wells,59.04,51.0,11.5,6089245.0,CA,-126.8329,65.282,75.0
23,Upernavik,19.45,74.0,7.23,3418910.0,GL,-56.1549,72.7868,99.0
24,Ushuaia,47.86,71.0,12.66,3833367.0,AR,-68.3,-54.8,40.0
25,Tasiilaq,35.76,66.0,4.03,3424607.0,GL,-37.6368,65.6145,100.0
26,Thunder Bay,51.71,58.0,0.0,6166142.0,CA,-89.3168,48.4001,40.0
27,Provideniya,37.51,81.0,11.18,4031574.0,RU,-173.3,64.3833,75.0
28,Cap Malheureux,77.47,70.0,8.01,934649.0,MU,57.6142,-19.9842,71.0
29,West Wendover,63.61,55.0,5.75,5710035.0,US,-114.0733,40.7391,100.0
30,Tautira,81.03,74.0,17.63,4033557.0,PF,-149.15,-17.7333,70.0
31,Avarua,78.85,89.0,11.5,4035715.0,CK,-159.775,-21.2078,75.0
32,Punta Arenas,46.51,81.0,9.22,3874787.0,CL,-70.9167,-53.15,100.0
33,Ozernovskiy,46.44,89.0,17.22,2122293.0,RU,156.5167,51.5,100.0
34,Aksu,69.78,34.0,2.53,1529660.0,CN,80.2644,41.1231,0.0
35,Arrondissement d'Ajaccio,56.75,79.0,2.3,3038333.0,FR,8.9167,42.0,0.0
36,Cabedelo,75.87,87.0,8.7,3404558.0,BR,-34.8339,-6.9811,56.0
37,Dikson,31.42,94.0,6.78,1507390.0,RU,80.5464,73.5069,14.0
38,Hobart,51.1,54.0,17.27,2163355.0,AU,147.3294,-42.8794,20.0
39,Vestmannaeyjar,47.32,93.0,12.82,3412093.0,IS,-20.2734,63.4427,100.0
40,Alofi,82.29,78.0,11.5,4036284.0,NU,-169.9187,-19.0595,75.0
41,Carnarvon,76.68,48.0,9.19,2074865.0,AU,113.6333,-24.8667,100.0
42,Saint-Philippe,71.19,81.0,12.64,935215.0,RE,55.7679,-21.3585,89.0
43,Cabra,55.92,87.0,1.16,2520645.0,ES,-4.4421,37.4725,9.0
44,Feldbach,53.01,96.0,3.22,2779685.0,AT,15.8883,46.9531,5.0
45,Tual,80.73,83.0,20.13,1623197.0,ID,132.75,-5.6667,58.0
46,Longyearbyen,33.64,64.0,19.57,2729907.0,SJ,15.6401,78.2186,40.0
47,Dukat,51.06,53.0,8.01,2125906.0,RU,155.55,62.55,97.0
48,Jalu,64.2,73.0,7.23,86049.0,LY,21.5482,29.0331,0.0
49,Vaini,80.76,78.0,18.41,4032243.0,TO,-175.2,-21.2,40.0
50,Albany,60.71,73.0,4.52,5106841.0,US,-73.9662,42.6001,0.0
51,Karaton,88.65,58.0,0.74,1630058.0,ID,106.1045,-6.3424,35.0
52,Saldanha,50.05,81.0,12.59,3361934.0,ZA,17.9442,-33.0117,0.0
53,Castro,54.79,98.0,5.66,3466704.0,BR,-50.0119,-24.7911,100.0
54,Inhambane,68.27,87.0,3.69,1045114.0,MZ,35.3833,-23.865,0.0
55,Mataura,54.61,87.0,2.62,6201424.0,NZ,168.8643,-46.1927,100.0
56,Puerto Ayora,77.56,96.0,1.01,3652764.0,EC,-90.3518,-0.7393,91.0
57,Arraial do Cabo,72.28,84.0,15.28,3471451.0,BR,-42.0278,-22.9661,63.0
58,Obihiro,72.81,47.0,7.23,2128815.0,JP,143.2044,42.9172,38.0
59,Penzance,56.08,88.0,17.43,2640377.0,GB,-5.5371,50.1186,19.0
60,Butaritari,83.88,75.0,13.69,2110227.0,KI,172.7902,3.0707,100.0
61,Rikitea,72.93,57.0,14.29,4030556.0,PF,-134.9692,-23.1203,51.0
62,Namatanai,84.16,71.0,10.65,2090021.0,PG,152.4333,-3.6667,72.0
63,Isangel,76.57,72.0,8.34,2136825.0,VU,169.2667,-19.55,32.0
64,Saint George,79.83,15.0,5.75,5546220.0,US,-113.5841,37.1041,0.0
65,Kruisfontein,53.89,75.0,3.76,986717.0,ZA,24.7314,-34.0033,100.0
66,Mwinilunga,52.81,73.0,3.69,902620.0,ZM,24.4293,-11.7358,18.0
67,Port Alfred,59.18,94.0,3.38,964432.0,ZA,26.891,-33.5906,76.0
68,Marzuq,79.0,50.0,4.74,72181.0,YE,46.4667,14.4,69.0
69,Puerto Escondido,82.65,77.0,3.15,3520994.0,MX,-97.0667,15.85,6.0
70,Sivaki,60.94,36.0,6.8,2016477.0,RU,126.75,52.6333,68.0
