,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,56.16,99.0,5.55,5954718.0,CA,-101.865,54.7682,58.0
1,Severo-Kuril'sk,43.12,96.0,20.11,2121385.0,RU,156.125,50.6789,100.0
2,Codrington,57.42,69.0,10.74,2171099.0,AU,141.9667,-38.2667,60.0
3,Bredasdorp,53.6,93.0,7.31,1015776.0,ZA,20.0403,-34.5322,9.0
4,Kindersley,57.22,77.0,6.91,5992154.0,CA,-109.1682,51.4668,40.0
5,Kavieng,83.07,76.0,20.18,2094342.0,PG,150.7967,-2.5744,100.0
6,Brae,48.9,92.0,24.56,2654970.0,GB,-1.353,60.3964,76.0
7,Hithadhoo,83.16,73.0,6.96,1282256.0,MV,73.0833,-0.6,97.0
8,Ponta Delgada,61.52,88.0,3.44,3372783.0,PT,-25.6667,37.7333,40.0
9,Kaitangata,58.93,72.0,2.42,2208248.0,NZ,169.8464,-46.2817,100.0
10,Neiafu,79.48,94.0,9.22,4032420.0,TO,-173.9833,-18.65,40.0
11,Busselton,66.96,66.0,12.95,2075265.0,AU,115.3333,-33.65,100.0
12,Kudahuvadhoo,83.62,73.0,9.82,1337607.0,MV,72.8944,2.6708,33.0
13,Port Macquarie,67.89,36.0,3.74,2152659.0,AU,152.9167,-31.4333,2.0
14,Jamestown,56.01,85.0,4.61,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,58.3,83.0,17.96,4944903.0,US,-70.0995,41.2835,1.0
16,São João da Barra,64.15,89.0,4.65,3448903.0,BR,-41.0511,-21.6403,12.0
17,Castlebar,46.96,83.0,3.2,2965654.0,IE,-9.3,53.85,100.0
18,Katobu,83.43,64.0,7.72,1640972.0,ID,122.5276,-4.9408,60.0
19,Port Lincoln,63.7,69.0,12.97,2063036.0,AU,135.8667,-34.7333,50.0
20,Padampur,85.71,46.0,3.78,1260938.0,IN,73.6167,29.6833,100.0
21,Cayenne,75.24,94.0,4.61,3382160.0,GF,-52.3333,4.9333,100.0
22,Norman Wells,55.44,62.0,12.66,6089245.0,CA,-126.8329,65.282,75.0
23,Upernavik,13.75,78.0,11.39,3418910.0,GL,-56.1549,72.7868,100.0
24,Ushuaia,44.26,81.0,5.75,3833367.0,AR,-68.3,-54.8,40.0
25,Tasiilaq,35.76,63.0,2.62,3424607.0,GL,-37.6368,65.6145,100.0
26,Thunder Bay,48.11,71.0,3.44,6166142.0,CA,-89.3168,48.4001,20.0
27,Provideniya,35.71,87.0,11.18,4031574.0,RU,-173.3,64.3833,75.0
28,Cap Malheureux,80.47,67.0,8.99,934649.0,MU,57.6142,-19.9842,52.0
29,West Wendover,63.61,52.0,3.44,5710035.0,US,-114.0733,40.7391,75.0
30,Tautira,81.68,70.0,16.73,4033557.0,PF,-149.15,-17.7333,73.0
31,Avarua,77.05,94.0,5.75,4035715.0,CK,-159.775,-21.2078,100.0
32,Punta Arenas,46.51,81.0,14.97,3874787.0,CL,-70.9167,-53.15,0.0
33,Ozernovskiy,45.05,88.0,14.79,2122293.0,RU,156.5167,51.5,100.0
34,Aksu,74.16,27.0,2.3,1529660.0,CN,80.2644,41.1231,5.0
35,Arrondissement d'Ajaccio,62.89,69.0,5.75,3038333.0,FR,8.9167,42.0,0.0
36,Cabedelo,75.87,88.0,8.84,3404558.0,BR,-34.8339,-6.9811,48.0
37,Dikson,31.68,93.0,7.61,1507390.0,RU,80.5464,73.5069,12.0
38,Hobart,50.02,59.0,17.27,2163355.0,AU,147.3294,-42.8794,20.0
39,Vestmannaeyjar,47.37,94.0,10.47,3412093.0,IS,-20.2734,63.4427,100.0
40,Alofi,78.69,89.0,9.22,4036284.0,NU,-169.9187,-19.0595,40.0
41,Carnarvon,76.8,45.0,9.19,2074865.0,AU,113.6333,-24.8667,100.0
