,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,55.96,99.0,4.59,5954718.0,CA,-101.865,54.7682,100.0
1,Severo-Kuril'sk,42.6,95.0,21.52,2121385.0,RU,156.125,50.6789,100.0
2,Codrington,56.73,70.0,9.42,2171099.0,AU,141.9667,-38.2667,100.0
3,Bredasdorp,59.05,84.0,19.44,1015776.0,ZA,20.0403,-34.5322,63.0
4,Kindersley,55.42,71.0,5.75,5992154.0,CA,-109.1682,51.4668,40.0
5,Kavieng,83.64,74.0,14.61,2094342.0,PG,150.7967,-2.5744,100.0
6,Brae,49.3,89.0,27.2,2654970.0,GB,-1.353,60.3964,83.0
7,Hithadhoo,83.35,73.0,7.72,1282256.0,MV,73.0833,-0.6,100.0
8,Ponta Delgada,59.72,94.0,3.44,3372783.0,PT,-25.6667,37.7333,40.0
9,Kaitangata,57.92,72.0,2.01,2208248.0,NZ,169.8464,-46.2817,100.0
10,Neiafu,79.48,94.0,8.05,4032420.0,TO,-173.9833,-18.65,40.0
11,Busselton,67.73,70.0,11.16,2075265.0,AU,115.3333,-33.65,100.0
12,Kudahuvadhoo,84.22,71.0,9.75,1337607.0,MV,72.8944,2.6708,51.0
13,Port Macquarie,60.89,49.0,1.88,2152659.0,AU,152.9167,-31.4333,0.0
14,Jamestown,58.95,67.0,4.61,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,57.33,88.0,18.34,4944903.0,US,-70.0995,41.2835,0.0
16,São João da Barra,68.13,87.0,9.53,3448903.0,BR,-41.0511,-21.6403,9.0
17,Castlebar,50.09,75.0,3.56,2965654.0,IE,-9.3,53.85,95.0
18,Katobu,84.63,62.0,8.05,1640972.0,ID,122.5276,-4.9408,75.0
19,Port Lincoln,62.29,77.0,12.28,2063036.0,AU,135.8667,-34.7333,36.0
20,Padampur,86.56,46.0,8.08,1260938.0,IN,73.6167,29.6833,100.0
21,Cayenne,73.44,100.0,0.0,3382160.0,GF,-52.3333,4.9333,0.0
22,Norman Wells,51.84,66.0,9.22,6089245.0,CA,-126.8329,65.282,75.0
23,Upernavik,18.46,77.0,6.82,3418910.0,GL,-56.1549,72.7868,100.0
24,Ushuaia,44.26,81.0,3.44,3833367.0,AR,-68.3,-54.8,40.0
25,Tasiilaq,39.36,80.0,6.42,3424607.0,GL,-37.6368,65.6145,100.0
26,Thunder Bay,44.51,87.0,1.14,6166142.0,CA,-89.3168,48.4001,20.0
27,Provideniya,39.16,70.0,8.05,4031574.0,RU,-173.3,64.3833,70.0
28,Cap Malheureux,80.47,67.0,5.01,934649.0,MU,57.6142,-19.9842,10.0
29,West Wendover,63.61,48.0,8.05,5710035.0,US,-114.0733,40.7391,75.0
30,Tautira,81.75,68.0,15.64,4033557.0,PF,-149.15,-17.7333,99.0
31,Avarua,75.25,94.0,4.61,4035715.0,CK,-159.775,-21.2078,75.0
32,Punta Arenas,46.51,81.0,14.97,3874787.0,CL,-70.9167,-53.15,0.0
33,Ozernovskiy,45.07,88.0,14.99,2122293.0,RU,156.5167,51.5,100.0
34,Aksu,75.79,24.0,3.13,1529660.0,CN,80.2644,41.1231,0.0
35,Arrondissement d'Ajaccio,64.38,64.0,3.44,3038333.0,FR,8.9167,42.0,0.0
36,Cabedelo,75.87,88.0,8.41,3404558.0,BR,-34.8339,-6.9811,77.0
37,Dikson,31.71,93.0,6.96,1507390.0,RU,80.5464,73.5069,10.0
38,Hobart,48.15,63.0,11.5,2163355.0,AU,147.3294,-42.8794,40.0
39,Vestmannaeyjar,47.61,94.0,11.43,3412093.0,IS,-20.2734,63.4427,100.0
40,Alofi,76.89,94.0,6.91,4036284.0,NU,-169.9187,-19.0595,75.0
41,Carnarvon,76.35,51.0,9.8,2074865.0,AU,113.6333,-24.8667,100.0
42,Saint-Philippe,80.19,74.0,12.06,935215.0,RE,55.7679,-21.3585,100.0
43,Cabra,58.64,82.0,2.95,2520645.0,ES,-4.4421,37.4725,21.0
44,Feldbach,67.23,68.0,2.95,2779685.0,AT,15.8883,46.9531,5.0
45,Tual,81.36,81.0,20.8,1623197.0,ID,132.75,-5.6667,99.0
46,Longyearbyen,33.64,69.0,23.02,2729907.0,SJ,15.6401,78.2186,75.0
47,Dukat,46.58,72.0,8.19,2125906.0,RU,155.55,62.55,100.0
48,Jalu,73.02,49.0,4.72,86049.0,LY,21.5482,29.0331,0.0
49,Vaini,77.16,88.0,14.97,4032243.0,TO,-175.2,-21.2,75.0
50,Albany,56.61,67.0,3.0,5106841.0,US,-73.9662,42.6001,0.0
51,Karaton,87.91,59.0,2.77,1630058.0,ID,106.1045,-6.3424,69.0
52,Saldanha,51.85,77.0,11.1,3361934.0,ZA,17.9442,-33.0117,0.0
53,Castro,54.16,96.0,4.32,3466704.0,BR,-50.0119,-24.7911,95.0
54,Inhambane,71.01,88.0,0.0,1045114.0,MZ,35.3833,-23.865,20.0
55,Mataura,52.29,91.0,3.36,6201424.0,NZ,168.8643,-46.1927,100.0
56,Puerto Ayora,75.54,100.0,1.99,3652764.0,EC,-90.3518,-0.7393,100.0
57,Arraial do Cabo,71.83,84.0,15.73,3471451.0,BR,-42.0278,-22.9661,100.0
58,Obihiro,71.01,87.0,12.06,2128815.0,JP,143.2044,42.9172,80.0
59,Penzance,56.43,71.0,18.41,2640377.0,GB,-5.5371,50.1186,0.0
60,Butaritari,84.22,75.0,12.73,2110227.0,KI,172.7902,3.0707,26.0
61,Rikitea,72.63,59.0,11.72,4030556.0,PF,-134.9692,-23.1203,10.0
62,Namatanai,82.69,77.0,11.54,2090021.0,PG,152.4333,-3.6667,77.0
63,Isangel,74.5,75.0,8.75,2136825.0,VU,169.2667,-19.55,10.0
64,Saint George,71.26,25.0,5.75,5546220.0,US,-113.5841,37.1041,0.0
65,Kruisfontein,58.91,77.0,3.89,986717.0,ZA,24.7314,-34.0033,100.0
66,Mwinilunga,69.28,41.0,5.7,902620.0,ZM,24.4293,-11.7358,100.0
67,Port Alfred,61.18,94.0,1.01,964432.0,ZA,26.891,-33.5906,100.0
68,Marzuq,85.3,34.0,6.73,72181.0,YE,46.4667,14.4,100.0
69,Puerto Escondido,82.15,77.0,3.58,3520994.0,MX,-97.0667,15.85,8.0
70,Sivaki,63.32,31.0,8.81,2016477.0,RU,126.75,52.6333,100.0
71,Yellowknife,50.52,66.0,4.61,6185377.0,CA,-114.3525,62.456,40.0
72,Canchungo,80.73,80.0,7.87,2373951.0,GW,-16.0333,12.0672,100.0
73,Östersund,37.85,41.0,8.05,2685750.0,SE,14.6357,63.1792,0.0
74,Fort Nelson,51.94,80.0,10.36,5955902.0,CA,-122.7002,58.8053,100.0
75,Castelo Branco,59.22,85.0,1.21,2269514.0,PT,-7.4909,39.8222,100.0
76,Black River,78.6,86.0,3.02,3491355.0,JM,-77.8487,18.0264,97.0
77,Atuona,81.36,68.0,18.79,4020109.0,PF,-139.0333,-9.8,5.0
78,Birao,81.59,63.0,5.06,240210.0,CF,22.7882,10.2849,100.0
79,Ekhabi,44.55,60.0,16.82,2122614.0,RU,142.9671,53.5102,100.0
80,Barrow,33.82,86.0,12.66,5880054.0,US,-156.7887,71.2906,75.0
81,Hilo,68.38,97.0,2.24,5855927.0,US,-155.09,19.7297,100.0
82,Mehamn,48.15,61.0,8.05,778707.0,NO,27.8492,71.0357,40.0
83,Shingū,77.36,83.0,7.76,1847947.0,JP,135.9833,33.7333,100.0
84,George Town,83.66,80.0,5.99,1735106.0,MY,100.3354,5.4112,20.0
85,Russell,59.27,100.0,3.44,4047434.0,US,-85.1999,32.3502,0.0
86,Sidhi,101.77,21.0,4.56,1256369.0,IN,81.8833,24.4167,0.0
87,Laramie,46.42,66.0,8.55,5830062.0,US,-105.5911,41.3114,53.0
88,Bluff,55.22,85.0,9.95,2206939.0,NZ,168.3333,-46.6,100.0
89,Bayir,66.72,63.0,2.39,304183.0,TR,28.2167,37.2687,100.0
90,Vila Velha,68.95,87.0,1.99,3445026.0,BR,-40.2925,-20.3297,0.0
91,Kapaa,70.32,88.0,7.76,5848280.0,US,-159.319,22.0752,10.0
92,Margate,53.96,71.0,8.99,2643044.0,GB,1.3862,51.3813,83.0
