,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,56.75,99.0,4.56,5954718.0,CA,-101.865,54.7682,73.0
1,Severo-Kuril'sk,42.93,96.0,13.67,2121385.0,RU,156.125,50.6789,100.0
2,Codrington,59.67,66.0,12.55,2171099.0,AU,141.9667,-38.2667,39.0
3,Bredasdorp,53.17,94.0,5.46,1015776.0,ZA,20.0403,-34.5322,21.0
4,Kindersley,73.42,38.0,2.3,5992154.0,CA,-109.1682,51.4668,40.0
5,Kavieng,81.61,78.0,18.3,2094342.0,PG,150.7967,-2.5744,100.0
6,Brae,48.45,87.0,24.07,2654970.0,GB,-1.353,60.3964,93.0
7,Hithadhoo,82.85,74.0,7.29,1282256.0,MV,73.0833,-0.6,97.0
8,Ponta Delgada,61.52,88.0,6.91,3372783.0,PT,-25.6667,37.7333,40.0
9,Kaitangata,58.93,70.0,2.59,2208248.0,NZ,169.8464,-46.2817,100.0
10,Neiafu,81.28,89.0,10.36,4032420.0,TO,-173.9833,-18.65,40.0
11,Busselton,63.01,65.0,5.41,2075265.0,AU,115.3333,-33.65,100.0
12,Kudahuvadhoo,84.27,73.0,9.57,1337607.0,MV,72.8944,2.6708,51.0
13,Port Macquarie,70.9,40.0,6.38,2152659.0,AU,152.9167,-31.4333,0.0
14,Jamestown,65.25,52.0,10.36,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,61.41,74.0,18.32,4944903.0,US,-70.0995,41.2835,0.0
16,São João da Barra,65.14,88.0,5.37,3448903.0,BR,-41.0511,-21.6403,5.0
17,Castlebar,47.59,91.0,3.96,2965654.0,IE,-9.3,53.85,58.0
18,Katobu,86.02,58.0,8.25,1640972.0,ID,122.5276,-4.9408,21.0
19,Port Lincoln,65.23,67.0,14.36,2063036.0,AU,135.8667,-34.7333,50.0
20,Padampur,81.68,53.0,7.81,1260938.0,IN,73.6167,29.6833,100.0
21,Cayenne,77.04,94.0,4.61,3382160.0,GF,-52.3333,4.9333,75.0
22,Norman Wells,62.64,42.0,13.8,6089245.0,CA,-126.8329,65.282,75.0
23,Upernavik,20.21,75.0,7.31,3418910.0,GL,-56.1549,72.7868,100.0
24,Ushuaia,46.06,76.0,5.75,3833367.0,AR,-68.3,-54.8,40.0
25,Tasiilaq,37.56,61.0,3.8,3424607.0,GL,-37.6368,65.6145,100.0
26,Thunder Bay,53.51,54.0,4.61,6166142.0,CA,-89.3168,48.4001,75.0
27,Provideniya,35.71,87.0,13.42,4031574.0,RU,-173.3,64.3833,100.0
28,Cap Malheureux,76.46,70.0,5.99,934649.0,MU,57.6142,-19.9842,66.0
29,West Wendover,61.81,63.0,10.36,5710035.0,US,-114.0733,40.7391,100.0
30,Tautira,80.62,76.0,17.38,4033557.0,PF,-149.15,-17.7333,71.0
31,Avarua,78.85,89.0,11.5,4035715.0,CK,-159.775,-21.2078,20.0
32,Punta Arenas,46.51,81.0,14.97,3874787.0,CL,-70.9167,-53.15,0.0
33,Ozernovskiy,48.09,85.0,17.18,2122293.0,RU,156.5167,51.5,100.0
34,Aksu,67.26,38.0,3.74,1529660.0,CN,80.2644,41.1231,1.0
35,Arrondissement d'Ajaccio,57.22,81.0,5.75,3038333.0,FR,8.9167,42.0,0.0
36,Cabedelo,77.67,96.0,4.92,3404558.0,BR,-34.8339,-6.9811,95.0
37,Dikson,31.19,94.0,6.73,1507390.0,RU,80.5464,73.5069,14.0
38,Hobart,51.82,52.0,20.71,2163355.0,AU,147.3294,-42.8794,20.0
39,Vestmannaeyjar,47.07,95.0,15.14,3412093.0,IS,-20.2734,63.4427,100.0
40,Alofi,82.29,78.0,12.66,4036284.0,NU,-169.9187,-19.0595,17.0
41,Carnarvon,75.36,42.0,8.52,2074865.0,AU,113.6333,-24.8667,100.0
42,Saint-Philippe,69.39,82.0,12.21,935215.0,RE,55.7679,-21.3585,87.0
43,Cabra,56.62,86.0,1.66,2520645.0,ES,-4.4421,37.4725,11.0
44,Feldbach,52.72,96.0,3.38,2779685.0,AT,15.8883,46.9531,4.0
45,Tual,80.82,83.0,19.98,1623197.0,ID,132.75,-5.6667,55.0
46,Longyearbyen,33.64,64.0,16.11,2729907.0,SJ,15.6401,78.2186,40.0
47,Dukat,49.64,55.0,8.7,2125906.0,RU,155.55,62.55,97.0
48,Jalu,64.49,70.0,7.83,86049.0,LY,21.5482,29.0331,0.0
49,Vaini,82.56,78.0,17.27,4032243.0,TO,-175.2,-21.2,40.0
50,Albany,62.83,70.0,5.95,5106841.0,US,-73.9662,42.6001,1.0
51,Karaton,85.98,65.0,0.96,1630058.0,ID,106.1045,-6.3424,34.0
52,Saldanha,48.25,81.0,14.16,3361934.0,ZA,17.9442,-33.0117,0.0
53,Castro,54.91,98.0,5.08,3466704.0,BR,-50.0119,-24.7911,100.0
54,Inhambane,68.47,87.0,4.41,1045114.0,MZ,35.3833,-23.865,0.0
55,Mataura,55.69,81.0,3.11,6201424.0,NZ,168.8643,-46.1927,100.0
56,Puerto Ayora,77.56,96.0,3.0,3652764.0,EC,-90.3518,-0.7393,91.0
57,Arraial do Cabo,72.09,85.0,13.2,3471451.0,BR,-42.0278,-22.9661,51.0
58,Obihiro,72.81,46.0,7.47,2128815.0,JP,143.2044,42.9172,37.0
59,Penzance,56.08,82.0,17.16,2640377.0,GB,-5.5371,50.1186,22.0
60,Butaritari,83.91,76.0,13.85,2110227.0,KI,172.7902,3.0707,100.0
61,Rikitea,72.86,56.0,13.35,4030556.0,PF,-134.9692,-23.1203,63.0
62,Namatanai,84.72,70.0,9.04,2090021.0,PG,152.4333,-3.6667,78.0
63,Isangel,77.49,69.0,8.39,2136825.0,VU,169.2667,-19.55,31.0
64,Saint George,83.97,12.0,13.8,5546220.0,US,-113.5841,37.1041,0.0
65,Kruisfontein,56.57,76.0,4.36,986717.0,ZA,24.7314,-34.0033,100.0
66,Mwinilunga,53.44,71.0,3.69,902620.0,ZM,24.4293,-11.7358,20.0
67,Port Alfred,59.18,94.0,5.14,964432.0,ZA,26.891,-33.5906,68.0
68,Marzuq,77.0,58.0,4.34,72181.0,YE,46.4667,14.4,75.0
69,Puerto Escondido,83.05,76.0,3.44,3520994.0,MX,-97.0667,15.85,6.0
