,City,Temp_max,Humidity,wind_speed,city_id,country_code,long,lat,Cloudiness
0,Flin Flon,49.84,93.0,5.75,5954718.0,CA,-101.865,54.7682,100.0
1,Severo-Kuril'sk,42.35,80.0,2.86,2121385.0,RU,156.125,50.6789,33.0
2,Codrington,51.17,79.0,9.6,2171099.0,AU,141.9667,-38.2667,100.0
3,Bredasdorp,51.1,68.0,4.68,1015776.0,ZA,20.0403,-34.5322,0.0
4,Kindersley,66.02,45.0,2.95,5992154.0,CA,-109.1682,51.4668,45.0
5,Kavieng,81.14,77.0,3.47,2094342.0,PG,150.7967,-2.5744,99.0
6,Brae,49.62,95.0,17.54,2654970.0,GB,-1.353,60.3964,97.0
7,Hithadhoo,82.6,74.0,13.69,1282256.0,MV,73.0833,-0.6,98.0
8,Ponta Delgada,66.92,72.0,16.11,3372783.0,PT,-25.6667,37.7333,20.0
9,Kaitangata,52.63,57.0,13.22,2208248.0,NZ,169.8464,-46.2817,96.0
10,Neiafu,74.08,83.0,2.3,4032420.0,TO,-173.9833,-18.65,40.0
11,Busselton,48.72,81.0,4.12,2075265.0,AU,115.3333,-33.65,0.0
12,Kudahuvadhoo,83.25,74.0,6.06,1337607.0,MV,72.8944,2.6708,1.0
13,Port Macquarie,52.9,70.0,13.44,2152659.0,AU,152.9167,-31.4333,5.0
14,Jamestown,66.87,35.0,8.05,5122534.0,US,-79.2353,42.097,0.0
15,Nantucket,51.33,87.0,16.28,4944903.0,US,-70.0995,41.2835,0.0
16,São João da Barra,78.89,70.0,11.43,3448903.0,BR,-41.0511,-21.6403,11.0
